de	d e
a	a
en	e n
que	k E
o	o
ye	y e
se	s e
os	o s
con	k o n
un	u n
una	u n a
la	l a
por	p o r
as	a s
lo	l o
como	k o m o
suya	s u y a
u	u
En	n
no	n o
son	s o n
ta	t a
ha	s i
suyo	s u y o
d	d
mas	m a s
tamién	t o m e e n
población	p o b l a n k i o n
los	l o s
habitants	h a b i t a n c
las	l a
dos	d o s
Ye	e
entre	e n t r e
pa	p a
fa	f a
La	a
bi	b i
más	m a
pero	p e r o
Se	e
yera	y e r a
estió	e s t i o
nombre	n o mb~ r e
dende	d e n d e
estar	e s t a r
gran	g r a
forma	f o r m a
encara	e n k a r a
i	i
dica	d i k a
parte	p e r t e
suyos	s u y o s
Tamién	a m i e n
puet	p u e ty~
sobre	s o o*
per	p e r
suyas	s u y a s
dimpués	d i m p u e
ciudat	i u d a t
fan	f a n
quan	k
pueden	p u e d e n
on	o n
ya	y a
tien	t i e n
troba	t r o b a
diferents	d i f e r e n c
termin	t E r m i n
atros	a t r o s
mesmo	m e s m o
més	m u
parti	p e r t i
tot	t o t
luenga	l u e n g a
servir	s e r k w 3 L i
han	h a n
fer	f e r
atras	a t a s
fue	f w e
tienen	t i E n e n
aragonés	a r a g o n e
ista	i s t a
anyos	5 o s
Bi	i
mientres	m i e n t r e
e	e
lugar	g a r
Manimenos	a n i m E n o s
baixo	b a i S o
bells	b e l a
luengas	l u e N a
tres	w a m i
latín	m u l e
Por	o r
del	d e l
puesto	p u e s t o
si	s i
mes	t i m 3 s
totz	k a t o nk~
Lo	o
iste	i s t e
enta	e n t a
muitos	m u i t o s
primera	p r i *
municipal	m u n i C i p a l
primer	p r i *
muit	m u i
sieglo	s i e L o
yeran	y e r i
nomás	n o m a
sin	s i n
río	r i o
feito	f e i t o
lugars	g a r
mayor	m a y o r
Sant	a n c
país	p a i
Un	n
Una	n a
francés	f r a n C i e
Dimpués	i m p u e
diz	d i z
heba	h 3 b a
muito	m u i t o
Zaragoza	a r a g o y a 7
numero	n u m e r o
mundo	m u n d o
asinas	a s i n a s
Los	o s
puede	p u e d e
grans	g r a n
metros	m e t r o s
norte	n o r t e
cada	k a d a
grupo	g n i n o
estato	e s t a t o
Aragón	r a g o n
formas	f o r m a s
estau	e s t a u
sobén	s o b e n
caso	k a s o
eixemplo	e i  3 mp~ l o
traza	tr~ a z a
zona	z o n a
cheneral	C e n e r a l
tiempo	t i e N p o
qui	k i
capital	k a p i t a l
traviés	t r a w i e
vida	v i d a
bien	b i e n
important	i m p o r t a nt~
sud	s u d
muitas	m u i t a s
part	p e r t
estando	e s t a n d o
regular	r e g u l a r
contra	r o n t r a
sistema	s i s t e m a
Dende	e n d e
ixo	i S o
Ista	s t a
menos	m E n o s
Con	o n
bellas	b e l l a
seguntes	s e g u n t e
le	l e
verbos	e r b o s
parola	p e r o l a
superficie	s u p e r f i k i e
m	m
rechión	r E c  o n
mayoría	m a y u r i a
tanto	t a n t o
No	o
ilesia	i l e s i a
alto	a l t o
prou	p r o u
Iste	s t e
fació	f a i o
territorio	t e r i t o r i o
millons	m i l l o* s
tener	t 3 n 3 q
casa	k a s a
historia	h i s t o r i a
teneba	t e n e b a
periodo	p e r i o t o
casos	k a s o s 3
castellán	k a s t e l l a a n
mesma	m e s m a
poder	p o d e r
dito	d i t o
Como	o m o
centro	C E n t r o
Encara	n k a r a
meyo	m e y o
países	p a i e
gosa	g o s a
guerra	g e r a
quantos	k a n t o s
