on	o n
ja	y a
et	e t
ei	e i
ka	r o x
kui	k u i
Eesti	e s t i
oma	o m a
ning	n i N
oli	o l i
see	s e
siis	s i s
aga	a g a
mis	m i
ta	t a
kes	k e s
pole	p o l e
nii	n i
või	v o i k
seda	s e d a 7
ole	o l e
Kui	u i
selle	s e l
juba	x u b a
veel	e
aasta	a s t a
välja	v 3 lx~ a
vaid	v a i d
üle	l e
kuid	k u i
sest	s e s
tuleb	t u l e
meie	m e i e
eest	e s d a
ütles	u t l e
kus	w o j
sõnul	s n o* n u l
saab	s a a b "
väga	v 3 g a
mitte	m i t t e
oleks	o l e k
maha	m a h a
võib	v o i k
mida	m i d a
tema	t e m a
jäänud	h 3 n u d
kõik	k o i k
vastu	v a s t u
olnud	o l n u d
palju	p a l C u
nagu	n a g u
ära	3 r a
See	e
nad	n a d
nende	n e n d e
ma	m a
kas	k a s
enam	e n a m
uudised	u d z o
aastal	a s t a l
natuke	n a t u k e
pärast	p 3 7 s d a
Tallinna	a l l i n t a
teha	t e h a
üks	3 k
midagi	d a g i
Euroopa	u r o p a
peab	p e a b "
ajast	c s d a
ju	C u
rohkem	r o h k E m E t
krooni	k r o
tagasi	t a g a s i
Eestist	e s t i s
olla	o l l a
ise	i s e
sai	s e i
ajal	a x a l
brauser	b r a u s e r
küll	k 3 l o
raha	r a h a
Eestis	e s t i s
saa	s a
neid	n e i d
ikka	i k
need	n e 3 d
kohta	k o h t a
kuidas	k u i d 3 s
Ja	a
peaks	p e a k
me	m i
kokku	k o k k u
Värsked	r i e s k 3 d
Postimees	o s t i m e s
nüüd	n 3 3 d
ainult	a i n u l
aastat	a s t a t
olid	o l i d
mille	m i l l e
Kas	a s
sellest	s e m u S a* 7
ette	e t
saanud	s a n u d
ega	e g a
läbi	l 3 b i
täna	t 3 n a
peale	p e a l e
kõige	k o i k g e
kaks	k a k
Aga	g a
välismaaltSinu	v 3 C i w a l t i n u
praegu	p r a e x u
olema	o l e m a
kogu	k o x u
vaja	v a h a
seal	s e a l
koos	k o s i r
hea	h e a
enne	e n n e
saada	s a y a
poolt	p o l
ehk	e h
inimesed	i n i m e s a i d
siin	s i i n
just	x u s
riigi	r i i g i
alla	a ly~ a
osa	o s a
Tartu	i t u
teada	t e a d a
ühe	3 e
jaoks	y a k
miljonit	l x o n i t
elu	e l u
korda	k o r d a
siiski	s i s k i
näiteks	n 3 i t e k
võiks	v o i k
isegi	i s e g i
Nii	i
võimalik	v o i m a l i k
meil	m e i l
keegi	k e x i
jooksul	h o k s u l
Ma	a
iga	i k a
juurde	x u r d e
Venemaa	i n i m a
uue	u
aega	a e g a
suur	s u r
eurot	u o t
tuli	t u l i
kaasa	k a s a
edasi	e d a s i
jääb	x o 3 b
poole	p o l e
enda	e n d a
Ta	a
olen	o l e n
ees	e s
rääkis	r 3 k i s
võtta	v n a k t a
minu	m i n u
selles	s e m u S m 3 s
tööd	h a t 3 d
miks	7
saavad	s a n a d
mees	m e s
lihtsalt	l i h s a l t a s
Hiiu	i u
kuni	k u n i
sel	s e l
Tallinnas	o l
läheb	l E h t i e
kelle	k e l
kell	k e l o
protsenti	p r o c e n t i
hästi	h 3 s t i
Ka	a
eile	u l
kindlasti	k i n y l a s t i
puhul	p u h u l
järgi	E n g i
toimub	t o i m u b
aeg	a e
teeb	t a p
inimesi	i n i m e s i
kuna	k u n a
inimene	i n i m E n E
ligi	l i g i
üles	u l e
eesti	e s t i
selleks	s e m u S Nw~
teatas	t e a t a s
alati	a l a t i
sama	s a m a
uus	u
jäi	x o i
kinni	k i N
aru	a r u
oleme	o l e m e
lisas	l i s a s
tõttu	t e m t u a n
pea	p e a
kolm	k o l m
endale	e n d a l e
vahel	v a h e l
ilma	i l m a
Soome	o m e
töö	h a t 3
sa	s a
riik	r i
valmis	v a l m i s
teinud	t e i t n~ u d
tal	t a l
talle	t a l
Ei	i
tehtud	t e h t u d
sisse	s i s s e
üldse	l j e
kohe	k o h e
neile	n e l
Kuid	u i
kunagi	k u n a g i
samuti	s a m u t i
all	o l
kahe	k a e
eriti	r i t i
inimeste	i n i m a* 7
öelda	o e l d a
sellega	s e l l e g a
päeva	p 3 7 e v a
juures	x u r e
inimest	i n i m a* 7
minna	m i n n a
varem	v a r e m
vähemalt	v E h t i l e m a l t a s
Samas	a m a s
alles	a ly~ m 3 s
president	p r e s i d e n t
teda	t e d a
näha	n 3 a
hakkab	h a k a b "
juht	x u h
sellele	s e l l e l e
politsei	p o l i 5 u
polnud	p o l n u d
tegi	t e g i
selline	s e l l i n e
annab	a n a b "
taas	t a s
anda	a n d a
tegelikult	t e g e l i k r u
tuleks	t u l e k
hinnangul	h i n n a N o l
Nüüd	3 3 d
Liidu	i d u
rahva	r a h v a
esimees	e s i m e s
juhul	x u h u l
asi	a s i
neil	n e
Mis	i s
peavad	p e a v a d
liiga	l i g
hoopis	h o p i s
kinnitas	k i n a n i t a s
Miks	i k
Riigikogu	i g i k o x u
viis	v i s
tee	t e n
teise	t e i s e
tulnud	t u l n u d
taha	t a h a
Tema	3 m a
miljoni	l x o n i
Keskerakonna	e s k e r a k o* n a
Seda	e d a
linna	l i n t a
ongi	o N i
tänavu	t 3 n a b u
teine	t e i n e
maailma	m a i t m a
seotud	s e o t u d
läinud	l 3 i n u d
mulle	l
said	s e i
suure	s u r e
ennast	e s d a
õhtul	n a nth$ u l
panna	p a n n a
olemas	o l e m a s
neist	n e s
Vene	e n e
tegemist	t e g e m i s
raske	r a s k e
meile	m e i l e
korral	k o r a l
vähem	v E h t i e m
saaks	s a k
ütleb	u t l e
On	n
Täna	3 n a
läks	l 3 k
Meie	e i e
andis	a n d i s
päris	p 3 7 r i s
kirjutab	l w a t t a b "
juhatuse	x u a t u s e
valitsuse	v a l i c u s e
sinna	s i n n a
võimalus	v o i m a l u s
tõesti	t e m e s t i
valitsus	v a l i C u s
märkis	m a g r k i s
teiste	t e i s t e
umbes	u mb~ e
kiriku	k i r i k u
nädalal	n 3 d a l a l
kuigi	k u i g i
kella	k e y a
ümber	m 3 b e r e
kätte	k a t t e
maja	m a h a
mingi	m i N i
hiljem	h i l x e m
meid	m e i d
Samuti	a m u t i
ilmselt	i l m s l 3
Kuidas	k i d 3 s
mul	m u l
suhtes	s o k i m 3 s
pool	p o l
uut	u r e t
tahab	t a h a b "
taga	t a g a
Pärnu	3 r tn~ a
tea	t e a
asja	a s a q
inimese	i n i m e s e
Toomas	o m a s i
kuhu	k u h u
igal	i g a l
lõpuks	l o p u k
kord	k o r d
mõni	m o n i
head	h e a d
kooli	k o l i
tähendab	t E h t i e n d a b
Narva	a r v a
leida	L e i d a
lisaks	l i s a k
aja	a h a
seni	s e n i
juhataja	x u a t a h a
võrra	v o* r a
selgitas	s l 3 k i t a s
arvates	a r v a i
Lisaks	i s a k
päeval	p 3 7 p i r a l
Kõik	n a i k
antud	a n t u d
kuu	k u
tulla	t u l l a
jälle	x o L e
võivad	v o i v a d
lapsed	l a p e d
mingit	m i N i t
tööle	h a t 3 l e
kohaselt	k o h a c e l
ikkagi	i k k a g i
mitu	m i t u
Me	e
tegema	t e g 3 m a
muidugi	m u i d u g i
hakata	h a k a t a
kuus	k u u s
liige	l i i g e
millest	m i l l e s
Hiiumaal	i u m a l
päev	p 3 7 e v
esimese	e s i m e s e
täiesti	t 3 e s t i
Praegu	r a e x u
samas	s a m a s
Hiiumaa	i u m a
millega	m i l l e g a
mind	m i n d
toimunud	t o i m u n u d
kaudu	k a u d u
Savisaar	a v i s a r
oluline	 l i n e
üsna	3 s n a
neli	n e l i
võttis	v n a k t i s
keda	k e d a
käib	k a Ch~ o
kolme	k o l m e
muud	m u d
sellist	s e ly~ i s
asemel	a s e m e l
Kuna	u n a
suurem	s u r E m o
osas	o s a s
jõudnud	h o u d n u d
auto	a u t o
kommentaarist	k o m e n t a r i s
vaadata	v a a d a t a
rääkida	r 3 k i d a
vene	f e n e
Teata	e a t a
ebasobivast	e b a s o b e  s d a
paljud	p a l h u d
te	t e
hakkama	h a k k a m a
mina	m i n a
vallas	v a l l a
Kuigi	k i g i
kasutada	k a s u t a d a
abi	l a b i
mõne	m o n e
erakonna	e r a k o* n a
firma	f E i r m a
Mida	i d a
hommikul	h o m m i k u l
tähelepanu	t E h t i e l e p a n u
kohale	k o h a l e
esimene	e s i m E n E
pigem	p i g e m
küsimus	k 3 b u p u s
hulgas	h u l x a s
teie	t e i e
olevat	o l e v a t
Siis	i s
Jüri	3 r i
rahvas	r a h v a s
õige	n a i g e
Olen	l e n
presidendi	p r e s i d e n d i
koguduse	k o g u d u s e
ent	e n t
möödunud	m o  d u n u d
võrreldes	v o* r e l d e
tahad	t a h a
Minu	i n u
mu	m u
huvi	h u b i
oled	o l e d
teised	t e z o
laste	l a s t e
sõnas	s n o* n 3 s
kommentaari	k o m e n t a r i
loe	l o e
pidi	p i d i
suurt	s u r
kõiki	k o i i k i
hind	h i n d
lahti	l a h t i
ootab	o t a b "
parem	p a r e m
Eestisse	e s t i s s e
hetkel	h e t k
pidanud	p i d a n u d
Kes	m 3 s
hoida	h o i d a
selge	s e l g e
seetõttu	s e th~ n a k t u
Balti	a l t i
Võru	o* r u
võtab	v n a k a b "
nõukogu	n u u k o x u
järel	E n
Läti	3 t i
õpetaja	n a p e t a h a
viimase	v i y i l a
tohi	t o h i
Näiteks	3 i t e k
naine	n a i n e
nädala	n 3 y e z i
euro	u
ettevõtte	e t u s n a k t e
mullu	m u L u
seas	s e 3 s
tõi	t e m i
leidis	L e i d i s
Üks	k
kõigile	k o i k g i l e
Politsei	o l i 5 u
vähe	v 3 e
toob	o
koha	k o h a
alates	a l a t e
leiab	L e i a b "
näitab	n 3 i t a b "
Tartus	i t u s
täis	t 3 i s
olukord	o l u k o r d
eelmisel	e l C u w e l
kahju	k a h C u
teevad	% t e v a d
räägib	r 3 i
vana	v a n a
lausus	l a u s u s
tasuta	t a s u t a
osta	o s t a
Need	e d
Rootsi	o c i
sellise	s e ly~ i s e
Seega	e x a
nn	n n
viia	v i a
valla	v a ly~ a
tänu	t 3 n u
andnud	a nd~ n u d
riigikogu	r i i g i k o x u
poleks	p o r e k
maksma	k s m a
Keskerakond	e s k e r a k o n d i
pidada	p i d a d a
asju	a s C u
mõned	m o n e d a n
uusi	u s i
Andres	ndr$ e
sealt	s e a l t a s
toimus	t o i m u s
tule	t u l e
tulevad	t u l e b E d
tuua	t u a
veidi	f e i d i
volikogu	v o l i k o x u
noored	n o r e d
Savisaare	a v i s a r e
arv	a r v
Mart	a r
ema	3 m a
linnapea	l i n t u t " e a
sõna	s n o* n a
koju	k o k u
eelmise	e l m i s e
alguses	a l k i e
muuta	m u t a
maailmas	m a i l m o s
kõrval	k o i r w a l
kiiresti	k i r e s t i
kõigi	k o i k g i
Mina	i n a
lugu	t u
peaminister	p e a m i n i s t e r e n
täpselt	t 3 p s l 3
õigus	n a i g u s
tehakse	t e h a k s e
paremini	p a r e m i n i
sellel	s e m u S
lausa	l a u s a
otsustas	c u s t o s
