eta	e t a
da	d a
zen	z e n
zuen	z u e n
izan	i r a n
bat	b a t
ere	e r e
ziren	z i r
ez	e z
dira	d i r a
du	d u
bere	b e r e
zuten	z e r o k
egin	g i n
edo	e d o
zituen	z i t u 7 3 n
dute	d u t e
beste	b e s t e
ditu	d i t u
baina	b a i n a
egiten	g i t e n
dago	d a
behar	b e h a r
bi	b i
den	d e n
artean	i t e a n
batean	b a t e a n
hau	h a u
baten	b a t e n
baino	b a i n o
oso	o s o
bezala	b e z a l a
duen	d u e n
Bere	e r e
lehen	l e h e n
bizi	b i z i
zituzten	z i t u z t e n
ondoren	d o r e n
diren	d i r
batzuk	b a c
eman	3 m a n
hainbat	h a n b u
hori	h o r i
egun	e g u n
hartu	h a r t u
dela	d e l a
erabiltzen	e r a b i l c e n
daude	d a u d e
hasi	h a s i
bakarrik	b a k a r i
dituzte	d i t u z t e
sortu	s o r t u
arteko	i t e k o
izena	i z e n a
izango	i r o n g o
duten	d u t e n
hauek	h a k i k "
urte	u r t e
arabera	a r a b e r a
batera	b a t e r a
nahi	n o
arte	i t e
lan	l a n
daiteke	d a i t e k e
de	d e
Hala	a l a
zion	z i o n
handia	h a n d i a
ematen	e m a t e n
batek	b a t e k
zela	z e l a
asko	a s k o
baita	b a i t a
zegoen	z e g o e n
bertan	b E t a n
gisa	g i s a
lortu	l o r t u
batez	b a t e z
hartzen	h a r c e n
dituzten	d i t u z t e n
hil	h i l
pertsona	p e r c o n a
gehiago	g e h a
horretan	h o r 3 t a n
honetan	h o n e t a n
honek	h o i k
hiru	h i r u
izaten	i r a t e n
bidez	b i d e z
gabe	g a b e
esan	e s a n
gero	g e r o
ondorioz	d o r i o n s
zehar	z e h a r
horien	h o r i e n
egon	e g o n
horiek	h o r i k
honen	h o n e n
egiteko	g i t e k o
gain	g a i n
parte	p e r t e
gabeko	g a b e k o
berriz	b E r i z
guztiak	g u z  a k
azken	a z k e n
alde	a l d e
Euskal	u s k a l
zenbait	z e n b a i t
berean	b e r e a n
daitezke	d a i t e z k e
