ha	s i
avei	E b e i
umi	r u m i
de	d e
peteĩ	p e t e i*
pe	p e
ary	a r
heta	h e t a
ko	k o
upe	u p e
rupi	n i n
Ko	o
oĩ	o i*
oiko	o i k o
térã	t a r o
jave	y a b e
ára	g a
katu	k a t u
táva	t a v a
chupe	C p e
guive	g i v E
ambue	a m b u e
rehegua	r e h e g u a
rehe	r E e
ikatu	i k a t u
hikuái	h i k u a i
tetã	t e t a*
guasu	g u a s u
porã	p o r a*
ndive	n t i v E
tenda	t e n d a
oguereko	o g e r e k o
ramo	r a m o
opa	o p a
la	l a
yvy	y v y
niko	n i k o
rire	r i r
peve	p e v e
tapicha	t a p i T a
del	d e l
ñane	5 a n e
Umi	m i
hína	h i n a
ñande	5 a nd~ e
gotyo	g o t y o
ojapo	c a p o
rupive	n i n i v E
pegua	p e g u a
apytépe	a p 3 t e p e
Péicha	e i T a
ava	a v a
haguã	h a g u
hérava	h e r a v a
Guarani	u a r a n i
karai	k a r a i
távape	t a v a p e
San	a n
oĩva	o i* v a
péicha	p e i T a
amo	n o i
mokõi	m o k o i k
hagua	h a g u a
Upe	p e
tembiapo	t e by~ u
aty	a t
opyta	o p 3 t a
oho	h o
ysyry	y s 3 r
upépe	u p e p e
kuéra	k u e r a
Pe	e
Ary	cy~
Oĩ	i*
oñepyrũ	w e p 3 r u*
mymba	m 3 i
upéicha	u p e i T a
ári	g a 5
hese	h e s e
ohasa	o h a s a
ichupe	i C p e
orekóva	o r e k o v a
tape	t a p e
Avei	f e i
Paraguái	a r a g u a i
jey	h e
ou	o u
oikóva	o i k o v a
ojejapo	o q j a p o
héra	h e r a
aja	a h a
ipype	i p 3 p e
yvyra	y v y r a
kuña	k u 5 a
oike	o i k e
péva	p e v a
osẽ	o s e*
Heta	e t a
Nacional	a c i o n a l
umíva	u m i v a
oreko	o r e k o
upéi	u p e i
voi	v o i
José	o s e
opaichagua	i n  C a g u a
chupekuéra	C o p e k u e r a
mbohapy	mb~ o h a p y
tapichakuéra	t a p i C a k u e r a
jepe	h e p e
ohupyty	h u p i t i
opaite	o p a i t e
óga	o g a
retãme	r e t a*
guare	g u a r e
ohechauka	h e C a u k a
terã	t E r a*
Juan	u a n
Peteĩ	e t e i*
oipuru	o i p i r
kóva	k o v a
ojehecha	o x e h e C a
Ha	a
La	a
oguerekóva	o g e r e k o v a
Paraguaýpe	a r a g u a p e
pukukue	p u k 3 k 3
che	C e
mboyve	b o y v e
Upéicha	p e i T a
chugui	C u g u i
guarã	g u a r a*
hembiapo	h e by~ u
peteĩha	p e t e i* a
retã	r e t a*
Paraguáipe	a r a g u a t p e
ambuéva	a m b u e v a
hetaiterei	h e t a i t e r e i
tekove	t a k o v e
upéva	u p e v a
hetave	h e t a b e
tavayguakuéra	t a v a y g u a k u e r a
tee	t e n
upévare	u p e v a r e
omano	a m i a s a
pyahu	py~ a u
tuichavéva	t u i C a v e v a
ohai	a i
tetãme	t e t a*
Kóva	o v a
jajuhu	y a h u h u
oúva	m E p v a
Oguereko	g e r e k o
pehẽngue	p e h e* Nw~ a
katuete	k a t u e t e
yvate	y v a t e
árape	g a p e
Guasu	u a s u
ku	k u
meve	m e v e
mitã	m i t a*
km	k m
hague	h a x 3
oñemoĩ	w e m o i*
reko	r e k o
arandu	a r a n d u
ohóvo	h o v o
ojejapóva	o q j a p o v a
opavave	o p a v a b e
heñói	h e ny~ a N
purahéi	p u r a h e i
oguahẽ	o g a h e*
tendápe	t e n d a p e
tetãvore	t e t a* v o r e
tuicha	t u i T a
yvyty	y v y ty ~
Kachíke	a C i k e
mburuvicha	m b u r u w i a
vai	w a i
yvypóra	3 b 3 p o r a
arýpe	a r p e
oikove	o i k o v e
Carlos	a r l o s
javeve	y a b e v e
ojapóva	c a p o v a
oĩha	o i* a
en	e n
gueteri	g e t e r i
peteï	p e t e 3
ñorairõ	5 o r a i r o*
Amo	m o
Antonio	t o o
Upépe	p e p e
akue	a k u e
opytáva	o p 3 t a v a
oñemohenda	w e m o h e n d a
téra	t a r o
mbytépe	b 3 t e p e
ojekuaa	o q u
Pedro	p i e d r o
tuichakue	t u i C a k u e
aranduka	a r a d u k a
hekove	h e k o v e
hendápe	h e nd~ a p e
hákatu	h a k a t u
irundy	i r u nd~
opáichagua	o  i T E g u a
Ára	r a
Tetã	e t a*
oiméva	o i m u v a
López	o p e z
morotĩ	m o r o t i*
oime	o i m e
Táva	a v a
ani	a n i
ohóva	h o v a
omotenonde	w a k i n d e
yma	i m a
ypykue	3 p 3 sw~ e
María	a r i a
Oñepyrũ	d a m a py~ r u*
ape	a p e
ijyvy	g i y i b i 7 a m
kuri	k u r u
ningo	n i Ng~ o
General	e n e r a l
hete	h e t e
Villa	i l l a
oikuaa	o i k u a
Ikatu	k a t u
katupyry	k a t u p 3 r
ñepyrũ	d a m a py~ r u*
Dr	r
Karai	a r a i
Río	i o
Upéi	p e i
asy	a s
mante	m a n t e
hembiapokue	h e by~ a p o k u e
hũ	h u*
kuarahy	k u a r a h
oñembohéra	w e mb~ u h e r a
renda	r e n d a
tekoha	t a k o h a
yva	y v a
Museo	u s a i o
Oiko	i k o
Ruta	u t a
hendive	h e n d i v E
ikatúva	i k a t u v a
mbarete	b a d e t e
omoheñói	h e ny~ a N
ryepýpe	cy~ e p p e
Yvy	v
guyra	g u y r a
ojeheróva	o x e h e r o v a
ojejuhu	o q h u h u
omotenondéva	w a k i n d e v a
sua	s u a
ñandéve	5 a e v e
Ambue	m b u e
Péva	e v a
ichugui	i T u g u i
jasypoapy	y a s 3 p o a p y
máva	m a v a
ndaikatúi	d a i k a t u i
tero	t e r o
upérõ	u p y o*
iporãva	p o r a* v a
paraguaya	p a r a g u a y a
puku	p u k u
tavaguasu	t a v a g u a s u
Upévare	p e v a r e
a	a
cm	k m
jahecha	y a h e C a
jasypa	y a s 3 p a
mymbakuéra	m 3 mb~ a k u e r a
ohecha	h e C a
pohã	p o h
tupão	t u k o
Francisco	r a n C i s k i s  o
nde	nd~ e
ogueraha	o g e r a h a
rembiapo	r E m o  u
Guaraníme	u a r a n S e
Guerra	u e r a
aravo	a r a v o
hetã	h e t a*
ohasáva	o h a c a v a
ojeguereko	o x e g e r e k o
tendáre	t a n g e
Francia	r a n C i w a
Itúva	t u v a
Luis	k i s
Marangatu	a r a N a t u
avakuéra	m a v a k u e r a
iporã	p o r a*
peteĩva	p e t e i* v a
pype	p 3 p e
ymaguare	i m g u a r e
Lengua	g u a
los	l o s
oipytyvõ	o i p 3 t 3 b o*
ojepuru	o x e p u r u
ojupi	b p i
oĩháme	o i* h a m e
Tupã	u p
Universidad	n i v e r i d a d
henda	h e n d a
itúva	i t u v a
ojehero	o x e h e r o
po	p o
teko	t a k o
Ohai	h a i
jasy	y a s 3
michĩ	m i C i*
oikovéva	o i k o v e v a
réra	r e r a
tetãnguéra	t e t a* g a e r a
ypy	3 p 3
Ñande	a n e
áva	a v a
Ava	v a
Centro	e n t r o
Escuela	s k u e l a
Itavusu	t a b u s u
Manuel	a n
apekue	a p u h e
atýpe	a t p e
haguére	h a g e r e
haihára	h a i h a r a
oheka	h e k a
retãygua	r e t a* y g u a
tekotevẽ	t a k o t e b e*
tuicháva	t u i C a v a
Chaco	h a k o
Tupão	u k o
isy	i s
itáva	i t E v a
kuñakarai	k u 5 a k a r a i
omoñepyrũ	w e p 3 r u*
oñangareko	w a N a r e k o
oñemoarandu	w e y a r a n d u
pa	p a
poguýpe	p o g p e
tendota	t e n d o t a
jasypo	y a s 3 p o
kavaju	a v a C u
mombyry	m o m b 3 r
ndaje	d a e
osẽva	o s e* v a
reheve	r e h e v e
Colegio	o l e g i o
González	n z a l e z
Oreko	r e k o
gobierno	g o b i E a n o
herakuã	h e r a
jasyporundy	y a s 3 p o r u nd~
kuatiahaipyre	k u a t i a h a i p y r e
mayma	m a i m a
ojeporu	o x e p o r u
ojogua	o x o g u a
porãve	p o r a* v e
tembiporu	t e m b i p o r u
ñu	5 u
Arte	r t e
Guaraní	u a r a n i
Puerto	u e r t o
ao	a o
hetaite	h e t a i t e
jasypateĩ	y a s 3 p a t e i*
jasyrundy	y a s 3 r u nd~
nunga	n u N a
oguata	o g u a t a
oisãmbyhy	w a z a* b 3 t
ojuka	o h u k a
ombohovái	v o o b a i
omoĩ	i*
rape	r a p e
tenondegua	t e n d e g u a
ypykuéra	3 p 3  e r a
Brasil	r a s i l
Buenos	u e n o s
Félix	3 i S
Rodríguez	o d r i g e z
Santa	a n t a
arte	i t e
guarani	g u a r a n i
hasýva	h a s v a
hina	h i n a
mborayhu	b o r a y u
oheja	h e h a i
oipurúva	o i p i r u v a
ojehu	o q u
oñondive	w o n d i v E
ruvicha	r u w i a
tavaygua	t a v a y g u a
Che	e
Dirección	i r E C i o n
Opa	p a
ijerére	g i y E a y e
jaikuaa	y a i k u a
kokuépe	k o k u e p e
mokõiha	m o k o i k a
omopyenda	py~ e n d a
paraguayo	p a r a g u a y o
porãva	p o r a* v a
ykére	y k e r e
ñemoñare	5 e m w a r e
Cerro	e r o
Jepémo	a p e m o
Kirito	i r i t o
akóinte	a k o i nt~ e
añete	a 5 e t e
distrito	d i u z i t o
don	d o n
guasúpe	g u a s u p e
haguépe	h a g e p e
ikatuhápe	i k a t u h a p e
jasyteĩ	y a s 3 t e i*
jerére	h e r e r e
ohechaukáva	h e C a u k a v a
oikéva	o i k e v a
sy	s
imemby	i m e mb~
jepémo	h e p e m o
marandu	r a n d u
o	o
oguejy	o g j
ojeikuaa	o q i k u a
paha	p a h a
peteĩháme	p e t e i* h a m e
pira	p i r a
pokõi	p o k o i k
rekove	r e k o v e
róga	r o g a
yvytu	i v i t u
yvýpe	y v p e
Ñane	a n e
Cultura	u l t u r a
Tavakuairetã	m a v a k u a i r e t a*
Tupãsy	u k s
agua	g u a
añoite	a 5 o y t 3
añónte	a 5 i* t e
heko	h e k o
hesekuéra	h e s u h e r a
ikatupyry	i k a t u p 3 r
ipukukue	i p u k 3 k 3
iñembyatýva	i 5 e m by~ a t v a
jasypakõi	y a s 3 p a k o i k
jasypoteĩ	y a s 3 p o t e i*
ogueru	o g e r u
oikuaauka	o i k u a u k a
okakuaa	o k i 5 u
techapyrã	t e C a py~ r a*
tembipuru	t e m b i p i r
ymave	i m a b e
Fernando	E a n a n d o
Héra	e r a
Mymba	y i
Ysyry	s 3 r
avati	a b a t i
avave	a b a b e
hóga	h o g a
kakuaa	k a k u a
ndaipóri	d a i p o r i
ojerure	o x e r u r e
okaháre	o k a h a
rete	r e t e
upérupi	u p e k i n
ymaite	i m i t e
ãva	a v a
Educación	d u k a i o n
Encuestas	n kw~ e s t o s
Iporã	p o r a*
Oime	i m e
Paraguaýgui	a r a g u a g u i
Parana	a r a n a
ae	a e
apytégui	a p 3 t e g u i
haimete	h a i m e t e
ipahápe	i p a h a p e
jehai	h e a i
jára	h g a
mbyte	b 3 t e
ojeipuru	o q i p i r
ojuhu	o h u h u
opavavépe	o p a v a v e p e
pytagua	p 3 t a g u a
upevarã	u p e b E r a*
vaka	v a k a
viru	v i r u
ñana	5 a
Gaspar	a s p a r
Gobierno	o b i E a n o
Martínez	i t x i a gw~ a
Mburuvicha	b u r u w i a
Presidente	r e s i d e n t e
Triple	r i p l e
Upéva	p e v a
arapy	a r a p y
are	a r e
e	e
hendáicha	h e nd~ a i T a
ikatuha	i k a t u h a
imbarete	i m b a d e t e
ita	i t a
jasykõi	y a s 3 k o i k
jasypokõi	y a s 3 p o k o i k
jepi	h e p i
jeroky	h e r o k
mitãrusu	m i t i u s u
música	m a s i k a
ndéve	nd~ e v e
ogueraháva	o g e r a h a v a
opurahéi	o p u r a h e i
oñembohérava	w e mb~ u h e r a v a
pyhare	p 3 h a r e
rei	r e i
río	r i o
sa	s a
su	s u
ñorãirõ	y o* k r a * i r o*
Amandaje	m a n dy~ e
Caballero	u C i C l e r o
Ciudad	i u d a d
Congreso	o N r e s o
Hembiapo	e m b a u
Ndaipóri	d a i p o r i
Upérõ	p y o*
apoha	a p o h a
arahaku	a r a h a k u
arapokõindy	a r a p o k o i k a t a
año	a 5 u
hapicha	h a p i T a
hápe	h a p e
jopói	j o p a N
mandyju	m a n dy~ C u
mbohapyha	mb~ o h a p 3 h a
oguahẽva	o g a h e* v a
ohechakuaa	h i n i 5 u
oipyhy	o i p i t
ombohéra	o mb~ o h e r a
omohenda	h e n d a
ova	o v a
político	p o r i t  o
pytã	p 3 t a*
pópe	p o p e
remiandu	r E m i a n d u
ruta	r u t a
tendagua	t e n d a g u a
umía	u m i a
Censos	e Th~ o s
Kuarahy	u a r a h
Paraguaya	a r a g u a y a
Paraguayo	a r a g u a y o
Tenda	e n d a
añetehápe	a 5 e t e h a p e
guerra	g e r a
guýpe	g u p e
itavusu	i t a b u s u
iñambue	i 5 a m b u e
las	l a
marangatu	r a N a t u
mávapa	m a v a p a
oiporavo	o i p o r a v o
ombojoaju	e c u s u
omenda	e n d a
oñembyaty	w e m by~ a t
pirapire	p i r a p i r
pépe	p e p e
reheguáva	r e h e g u a v a
renondépe	r e n d e p e
temiandu	t e m i a n d u
tetãygua	t e t a* y g u a
tuja	t u h a
upégui	u p e g u i
vore	v o r e
Amérika	m u r i k a
Ijyvy	x i v i
Instituto	s t i t u t o
Mcal	k a l
Opyta	p 3 t a
cultura	k u l t u r a
hasy	h a s
hembiapópe	h e by~ a p o p e
hemiandu	h e m i a n d u
hovy	h o v
jajuhukuaa	y a h u w u
jevy	p i r
kóicha	k o i T a
mbaraka	b a r a k a
mitãnguéra	m i t a* g a e r a
ndikatúi	n t i k a t u i
ohasávo	o h a c a v o
ohaíkuri	o h a d i k u r i
ohaíva	o h a i v a
okaru	o k a t u
oky	o k
ombopu	c o p u
orekovéva	o r e k o v e v a
oñemoambue	w e y a m b u e
oĩhápe	o i* h a p e
rógape	r o x a p e
upéichante	u p e i C a n t e
virus	v i r u s
Ayala	a l a
Facultad	a k u l t a d
Ferreira	E r  r a
Hesu	e s u
Heñói	e ny~ a N
Kuña	u 5 a
León	e o n
Mburuvi	b u r u b i
Oñemoarandu	d a m a y a r a n d u
Paso	a s o
apópe	a p o p e
hekopete	h e k o p e t e
isýkatu	i s k a t u
kuatia	k u a t i a
kure	k u r e
léi	l e i
obra	o b r a
oikotevẽva	o i k o t e b e* v a
ojegueraha	o x e g e r a h a
ojehechakuaa	o x e h e C i 5 u
ojeiko	o q i k o
para	p a r a
reserva	r e s E r v a
siglo	s i g l o
tavusu	t a b u s u
tĩgua	t i* g u a
ñemuha	5  a
Alto	l t o
Diccionario	i k i o n a r i o
Don	o n
Flores	l o r e
Hekove	e k o v e
Nueva	k i k " v a
Omano	n o
Opaite	p a i t e
Peru	e r u
Peteï	e t e 3
Pindoráma	i d o r a m a
Solano	o r a n o
artista	i t i s t a
chéve	C e v e
gueterei	g e t e r e i
hógape	h o x a p e
jagua	h 3 g g u a
jajapo	y a j a p o
jasyapy	y a s 3 a p y
kamby	k a m b
kuaa	k u a
m	m
nacional	n a g a o n a l
ogakuéra	o g a k u e r a
oguerúva	o g e r u v a
ojekuaáva	o q a kw~ a r a v a
okápe	o k a p e
omoambue	o y a m b u e
omyakãva	a m i y a b 3* v a
oñorairõ	w o r a i r o*
paraguái	p a r a g u a i
pire	p i r
poteĩ	p o t e i*
rembiapokue	r E m o  a p o k u e
yvóra	y v o r a
ñemby	d a m a mb~
Alianza	l i a n c a
Asociación	s o k a i o n
García	a r T i a
Ipukukue	p u k 3 k 3
Mariscal	a r i s k a l
Para	a r a
Péa	e a
Radio	a d i o
Tetãvore	e t a* v o r e
general	g e n e r a l
gui	g i
hembireko	h e m b i r e k o
hetavéva	h e t a v e v a
kilómetro	k i l o u m E t r o
meme	m e m
metro	m e t r o
mimi	m i m i
mitãkuña	m i a* sw~ 5 a
mm	m m
mokõive	m o k o i i v E
oikókuri	o i k o k u r i
oipytyvõva	o i p 3 t 3 b o v a
oisãmbyhýva	w a z a* b 3 t v a
ojeho	o x e h o
ojepurúva	o x e p i r u v a
ombojoajúva	c o h a r k u v a
omoañete	o y a 5 e t e
omoĩva	i* v a
oporandu	L o k a n d u
oñemotenonde	w e m o t e n d e
política	p o r i t i k a
rekuái	r e k u a i
rembiasa	r E m o  a s a
ryguasu	cy~ g u a s u
teroja	t E r o h a
turismo	t u r i s m o
upeigua	u p e i g u a
vove	v o v e
Ñorairõ	o r a i r o*
ñorairõhára	5 o r a i r 3 h a r a
Cardozo	a r bw~ r o
Casado	a s a d o
Coronel	o r o n e l
Departamento	a p i t a m e n t o
Fuerte	u e r t e
Guasúpe	u a s u p e
Ojejapo	h e y a p o
Paraguaigua	a r a g u a i g u a
Rio	i o
Rosario	o s a r i o
Tape	a p e
Ymave	m a b e
Yvypóra	b 3 p o r a
colonia	k o l o n i y a
eíra	e i r a
hatã	h a t a*
iporãvéva	p o r a* v e v a
jaipuru	y a i p i r
jeko	h e k o
kuatiápe	k u a t i a p e
mbohapypa	mb~ o h a p 3 p a
mboka	b o k a
memby	m e m b a
michĩvéva	m i C u s e v e v a
ministro	m i n i s t r o
ohechávo	h e C a v o
ojeporúva	o x e p o r u v a
omboty	c o t
ombyaty	d o mb~ y a t
omopyendáva	py~ e nd~ a v a
oñembokatupyry	w e mb~ r a t u p 3 r
oñemopyenda	w e m o p y e n d a
oñepyrũva	w e p 3 r u v a
poapy	p o a p y
rekoha	r e k o h a
rendápe	r e n d a p e
resẽ	r e s e*
tata	t a t a
tavakuéra	t a v a k u e r a
upei	u p e i
upekuévo	u p e k u e v o
yvýre	y v
ñembosarái	d a m a e s e r a i
Acosta	k o s t a
Aires	i r e
Aty	t
Estado	s t a d o
Estados	s t a d o s
Estadísticas	s t a a s t i k a s
Hetave	e t a b e
Internacional	t E r n a g a o n a l
Los	o s
Martín	i t i
Miguel	i g
Omenda	m e n d a
Retã	e t a*
Superior	u p e r i o r
Tavetã	E b e t a*
Ymaguare	m a g u a r e
apañuãi	a p a 5 u a* i
aporeko	a p o r e k o
atã	a t a*
aviõ	a g o y o*
departamento	d e p i t a m e n t o
estilo	e s t i l o
haguãicha	h a g u a* i T a
