an	a n
de	d e
der	d e r
vun	v u n
ass	n i
déi	d e i
fir	f i r
a	a
den	d e n
op	o p
ze	z e
net	n e t
eng	i N
et	e t
mat	m a t
am	a m
huet	h u i e t
vum	v u m
ginn	g i n n
sech	s e
e	e
dat	d a t
een	e n
sinn	s i n n
wéi	wy~ i
datt	d E t
méi	m u i
zu	z u
ech	n
hunn	h u n n
awer	a w e r
vu	v u
dem	d E* m
en	e n
mir	m i*
gëtt	g 3
ee	e
engem	g e m
De	e
bei	b e i
war	w a r
esou	e s o u
oder	o d e r
aus	a u s
si	s i
An	n
un	u n
um	u m
Joer	o e r
enger	g e r
ganz	g a n c i
all	o l
do	d o
dann	d a n
deen	d e n
vill	v i l
dass	d a s
eis	e i s
se	s e
elo	e l o
wat	w a t
wann	w a n n
Den	e n
hei	h e
kann	k a n n
Ech	C
no	n o
als	a l
Lëtzebuerg	3 c o bw~ a E a g
bis	b i s
mer	m e r
wier	w i e r
wou	w o u
gouf	g o u f
well	w e l o
Leit	a i
sou	s o u
muss	s
jo	h o
Déi	e i
ëmmer	m a m e
mam	mw~ a mw~
gutt	g u t
dee	d e
iwwer	i w w e r
hat	h a t
geet	g e t
iwwert	i w w e r
Mir	i r
seng	s 3 N
zum	a f o
deem	d e e m
soll	s o l o
Dir	i r
keng	k e n
mee	m e
géif	g e i f i
duerch	d u o mb~ o
hu	h u
Am	m
hien	h i e n
just	x u s
Fir	i r
hir	h i r
da	d a
hätt	h 3 t
virun	v i r u n
dës	d 3
eppes	a p p e 7 e s
nei	n e i
géint	g e i nt~
also	a l s o
hun	h u i n
kënnt	k 3 n a 5 a
Wéi	e i
schonn	S o* n
mech	m i C
kënnen	k 3 n n e n
beim	b e i m
ëm	m
Land	a n d
weider	w e i d e r
nees	S i
aner	a n e r
kommen	k o m e n
Mee	e
Zäit	3 i t
Wann	a n n
Lëtzebuerger	3 c o bw~ a  g e r
du	d u
alles	a ly~ m 3 s
puer	p u e r
haut	h a u t
soen	s o e n
mol	m o l
nëmmen	d e* b m e n
mä	m a g
selwer	s e l w e r
Si	i
gi	g i
grouss	g r o u s
waren	w a r e
dofir	d o f i r
där	d 3 r
deenen	d e n e n
ouni	o u n i
dësem	d e s e m a
Iech	n
fannen	f a n e n
dir	d i r
besser	b e s e r
Kéier	e i e r
scho	S o
kréien	k r e i e n
Foto	o t o
Wee	e
sin	s i n
wëll	w e l o
kee	k e
laang	l a N
kritt	k r i t
daat	d a t
wäert	w 3 e r
kéint	k e i nt~
ob	o b
gesinn	g e s i n n
Op	p
seet	s e
richteg	r i t o g
zwee	z a C a
emol	e m o l
deene	d e e n e
wichteg	w i t o g
senger	s e N e r
Kanner	a n n 3 q
zur	z u r
goen	g o e n
konnt	q o n i k a 5 a
u	u
allem	a l l 3 m
hie	h i e
Beispill	e i s p i l
as	a s
Hei	e i
Kommentar	o m e n t a r
sengem	s e N e m
Plaz	l a z
säi	s i
erëm	e r e m
dëser	d e s e r
goufen	g o u m a n u n
sollt	s o L
steet	s t e n
di	d i
heescht	x e s t
dëst	d e s
dei	d e i
Fall	o l
ënnert	3 n n e r
Bei	e i
mussen	s e n
näischt	n 3 i s t
keen	k e n
misst	m i 7
direkt	d i r e k
Merci	e r i
