li	l i
u	u
ta	t a
ma	m a
biex	b i e 7
minn	m i n n
kien	k i e n
fuq	f u
dan	d a n
qed	q o
hemm	h e m m
din	d i n
għal	g a l
xi	a l
kif	k i f i
lil	l i l
hu	h u
se	s e
ukoll	u k o l o
jew	j i w
meta	m e t a
dawn	d a w n
mhux	h u S
kienet	k i e n e t
kienu	k i e n u
fejn	f e n
dak	d a k
huma	h u m a
aktar	a k t a r
min	m i n
tiegħu	t i e x u
huwa	h u w a
jekk	h e k
wara	w a r a
ħafna	a f n a
jkun	h k u n
kollha	q u L a
Malta	a l t a
Dan	a n
kull	k u l o
wkoll	w k o l o
dwar	d w a r
biss	b i s
dawk	d a w
kemm	k e m m
imma	i m a
tkun	t k u n
għax	g a
fi	f i
bħala	b a l a
hi	h i
sena	s e n a
hija	h i j a
ikun	i k u n
f	f
ftit	f t i
tagħhom	t o x o m
oħra	o r a
lejn	j n
Alla	L a
wieħed	v i  3 d
jista	h i s t a
dejjem	d e h a h m
għandu	g a n d u
ghal	x a l
hekk	h e k
San	a n
tagħna	t a j
Din	i n
qabel	q a b e l
bejn	b E n
hawn	h a u w n
kollox	q u L u 7
iżda	i d a
xejn	S j n
kollu	q u L u
qal	q a l
jien	h i e n
ghax	g a g a X
snin	s n i n
kellu	k e L u
jkunu	h k u n u
ser	s e r
bħal	b a l
tagħha	t a gh~ a
għandhom	g a n d o m
qatt	q a t
dik	d i k
iktar	i k t a r
il	i l
issa	i s s a
nies	n i e
darba	d a r b a
sa	s a
flimkien	f l i m k i e n
Imma	m a
waħda	w a d a
hafna	a f n a
Ma	a
tieghu	t i e x u
kont	k o nt~
bi	b i
quddiem	q u d i e m
sar	s a r
Meta	e t a
waqt	w a q
Jekk	e k
Malti	a l t i
anke	a n k e
kbira	m i r a
tista	t i s t a
Kien	i e n
ilu	i l u
Jien	i e n
barra	b a r a
tajjeb	t a E b
kontra	k o nt~ r a
Dawn	u n
tant	t a n t
Kristu	r i s t u
sabiex	s a b i e 7
għandha	g a n d a
jagħmel	h a n k i m e l
madwar	d w a r
Huwa	u w a
ieħor	i e o r
ikunu	i k u n u
minnhom	m i n 5 o m
Maltin	a l t i n
permezz	p e r m d
lura	l u r a
kbir	k b i r
jiġu	h i NG~ u
Iżda	d a
diversi	d i e r S i
Hu	u
bla	b l a
żmien	m i e n
jistgħu	h i s t 3 x u
llum	L u m
aħna	a n a
jiġi	h i NG~ i
differenti	d i f f e r e n t i
anki	a n k i
parti	p e r t i
Laburista	a b u r i s t a
ħadd	a d
importanti	i m p o r t a n t i
nhar	h a r
ħaġa	a NG~ a
tiegħi	t i e g i
fih	f i
saret	s a r e t
jaf	y a f
kulħadd	k u l a d
billi	b i l l i
beda	b e d a
trid	t r i d
Wara	a r a
milli	m i l l i
wiehed	w i e h e d
fost	f o s
Ministru	i n i s t r u
taħt	t a t
ġie	N g i e
stess	s t e s
minħabba	a mb~
ohra	h 3 r a
kienx	7
mod	m o d
Ewropea	w o p e a
irid	i r i d
fiha	f i h a
jagħmlu	h a n k i m l u
jgħid	h g i d
matul	m a t u l
