te	t e
i	i
o	o
ki	k i
ngā	N
e	e
ka	r o x
a	a
me	m i
ana	a n a
he	e
nga	N a
Te	e
ko	k o
mai	m a i
Ko	o
atu	a t u
Ka	a
He	e
ai	a i
hei	h e
mō	m o
Māori	a o r i
kia	k i a
ia	i a
mahi	m a h i
hoki	h o k i
nei	n e i
tau	m a
tēnei	t a N n e i
tētahi	t a N t a h i
roto	r o t o
mea	m e a
ake	a k e
kei	k e i
kua	k u a
kōrero	k o r e r o
anō	a n o
nui	n u i
reo	r E o
haere	h a e r e
tangata	t a N a t a
ētahi	a N t a h i
tonu	t o n u
mo	m o
katoa	k a t o a
mā	m
rātou	r a t o u
whai	wh~ E a i
iwi	i w i
noho	n o h o
koe	k o e
runga	r u N a
Kei	e i
tō	a
rānei	r nj~ 3 e i
whenua	f e n u a
to	t o
noa	n o a
ākonga	a k o N a
wā	a
kaupapa	k a u p a p a
whare	wh~ E a r e
tana	t a n a
tino	t i n o
pai	p a i
Aotearoa	o t e a r o a
rā	r
take	t a k e
Ngā	g
tenei	t e n e i
aha	a h a
ra	r a
taua	t a w a
toa	t o a
taea	t a e a
tōna	t r 3 n a
kura	k u r a
kai	k a i
tae	t a e
rawa	r a w a
rua	r u a
Kua	u a
kore	k o r e
whakaaro	wh~ E a k a d o
mate	m a t e
puta	p u t a
tamariki	t a m a r i k i
tikanga	t i k a n g a
ēnei	a N n e i
reira	r e i r a
wāhi	a
taku	t a k u
wai	w a i
iho	i h o
pukapuka	p u k a p u k a
ano	a n o
au	a u
ao	a o
waka	w a k a
tā	m a
kitea	k i t e a
tetahi	t e t a h i
kupu	k u p u
momo	m o m o
muri	m u r i
Me	e
ako	a k o
mua	m u a
taha	t a h a
whakaatu	wh~ E k a a t u
whānau	wh~ E nj~ 3 a u
tika	t i k a
korero	k o r e r o
tahi	t a h i
nā	n
tauira	t a w i r a
nō	n o
kaha	k a h a
tohu	t o h u
pā	p
matua	m a t u a
āhua	a w a
Kia	i a
ratou	r a t o u
kāore	l o r e
pea	p e a
engari	g a r i
ōna	r 3 n a
tuatahi	t u a t a h i
kē	q e
wāhanga	a  a Ng~ a
the	th~ e
Hei	e i
hua	w a
ingoa	i N o a
maha	m a h a
nama	n a m a
hou	h o u
raro	r a r o
hunga	h u N a
ō	o
mana	m a n a
roa	r o a
tēnā	t e n
Mātauranga	a t a u r a Ng~ a
āhuatanga	a w a t a n g a
Ki	i
kaiwhakahaere	S i r k a h a e r e
mōhio	m o i o
tū	t u
hanga	h a n g a
rōpū	r o p u
ahau	a h a u
koutou	k o u t o u
wa	w a
waiata	w a i a t a
tuku	t i k i
tērā	t e r
tona	t o n a
kotahi	k o t a h i
taki	t a k i
mau	m a u
mātou	m a t o u
Ngati	g a t i
na	n a
utu	u t u
hiahia	h i a h i a
rārangi	r a r a N i
tautoko	t a u t o k o
arā	a r
rauemi	r a u e m i
hāngai	h a N a i
tāngata	m a N a t a
wahine	w a h i n e
Kete	e t e
ara	a r a
Nō	o
Rauemi	a u e m i
kōwhiringa	k o wh~ E i r i Ng~ a
kaore	k a o r e
huarahi	w a r a h i
Ipurangi	p u r a N i
whakamahi	wh~ E k a m a h i
toru	t o r u
Reo	e o
Kāore	a o r e
kite	k i t e
tekau	t a k a u
ma	m a
Ngāti	g a t i
Kohinga	h i n g a
aua	a u a
Maori	a o r i
whakaahua	wh~ E k a h i
iti	i t i
hoa	h o a
rāua	r a i
ta	t a
rangatira	r a N a t i r a
taonga	t a o n g a
tātou	m a t o u
rohe	r o h e
Iwi	w i
New	e w a
whakahaere	wh~ E k a h a e r e
rere	r e r e
marama	m a r a m a
āta	a t a
