di	d i
e	e
cu	k u
ta	t a
a	a
pa	p a
un	u n
na	n a
den	d e n
nan	n a n
tin	t i n
no	n o
Aruba	r u b a
por	p o r
lo	l o
aki	a k i
nos	n o s
riba	b a
su	s u
mas	m a s
tabata	t a b a t a
tur	t u r
mester	m e s t e r e n
bay	b a y
wordo	e* d o
tambe	t a mb~ e
haci	h a k i
esaki	e s a k i
haya	h a y a
hopi	h o p i
pero	p e r o
otro	o t r o
keda	k e d a
hende	h e n d e
bo	b o
asina	a s i n a
aña	a 5 a
persona	p e r s o n a
mes	t i m 3 s
duna	d u n a
si	s i
tuma	t u m a
sigui	s i g u i
como	k o m o
bisa	b i s a
ora	o r a
pasa	p a s a
Minister	i n i s t e r e n
bin	b i n
for	f o r
dia	d i a
nobo	n o b o
Na	a
yega	y e g a
caso	k a s o
manera	m a n e r a
Hulanda	u l a n d a
kier	k i e r
Gobierno	o b i E a n o
prome	p r o m e
loke	l o k e
unda	u n d a
cas	k a s
Pa	a
pais	p a i s
grandi	g r a n d i
situacion	s i t u a i o n
drenta	d r e nt~ a
caminda	k a m i n d a
momento	m o p i N t o
Esaki	s a k i
Den	e n
bon	b o n
cual	k u a l
forma	f o r m a
traha	tr~ a h a
bira	b 3 r a
te	t e
parti	p e r t i
Ta	a
gobierno	g o b i E a n o
dos	d o s
mira	m i r a
Nos	o s
Un	n
durante	d u r a n t e
despues	d e s p u e
pone	p o n e
con	k o n
diferente	d i f e r e n t e
pasobra	p a s o b r a
siman	s i m a n
pueblo	p u e b l o
sin	s i n
caba	k a b a
entre	e n t r e
polis	p o l i s
awor	u o r
anochi	a n o C i
yuda	y u d a
biaha	b i a h a
cuminsa	k u m nsw$ i a
sa	s a
importante	i m p o r t a n t e
Polis	o l i s
tempo	t e N p o
informacion	i n h i o n
trata	tr~ a t a
presenta	p r e s e nt~ a
habri	h a b r i
Parlamento	a r l a m e n t o
mundo	m u n d o
comunidad	k o m u n i d a d
auto	a u t o
sitio	s i t i o
pidi	p i d i
luna	l u n a
esnan	e s n a n
algun	a l g u n
placa	p l a y i k a
segun	s e g u n
ainda	a i n d a
esey	e s a i
mustra	s t r a
dilanti	d i l a n t i
mi	m i
problema	p l o b l 3 m a
ricibi	r i C i b i
tene	t e n e
crisis	k r i s i s
Croes	r o m 3 s
splica	s p l i k a
paga	p a g a
indica	i n d i k a
ya	y a
Pero	e r o
logra	l o g r a
mainta	m a i t a
hunto	h u n t o
mucha	m u C a
door	o r
sali	s a l i
kico	k i k o
ley	l E
atende	a t e n d e
contra	r o n t r a
trece	t r e k e
total	t a t a l
papia	p a p i a
cada	k a d a
Prome	r o m e
ultimo	u l t i m o
lugar	g a r
cantidad	k a n t i d a d
motibo	m o t i b o
Si	i
mesora	m e s o r a
financiero	f i n a n C y e r o
yama	y a m a
grupo	g n i n o
informa	i n h m a
conoce	r o n o k e
ningun	n i 3 l n
ey	u y
entrega	e n t r e g a
banda	b a n d a
publico	p u b l i k o
algo	a l g o
patruya	p a t r u y a
bek	b e k
sigur	s i g u r
famia	f a m i a
para	p a r a
homber	h o b e r e
scol	s k o l
laga	l a g a
awe	a w e
casonan	k a s o n a n
varios	v a r i o s
dirigi	d i r i g i
trabao	tr~ a b a o
via	v i a
trabou	tr~ a b o u
