të	t 3
e	e
në	n E
dhe	d e
i	i
për	a p i r
që	q 3
me	m i
një	nj~ 3
ka	r o x
se	s e
nga	N a
është	e s t 3
më	m 3
do	d o
nuk	n u k
së	s 3
edhe	e d e
janë	h a n E
u	u
si	s i
kanë	k a n E
shumë	S u m 3
po	p o
këtë	k 3 3
por	p o r
Në	3
duke	d u k e
mund	m u n d
te	t e
tij	t i
ta	t a
duhet	d u h e t
ishte	i s t e
pas	p a s
tyre	t r e
tha	t h a
ne	n e
parë	p i 3
ai	a i
ku	k u
gjithë	gy~ i t e
vetëm	e y m
prej	p r e y o
dy	d
bërë	b e r 3
Kosovës	o s o v E n
kur	k u r
jetë	h e t 3
kjo	k h o
deri	d e r i
saj	s a x
disa	d i s a
pasi	p a s i
gjatë	gy~ a t 3
fundit	f u nd~ i t
kishte	k i S t e
pa	p a
kemi	k e m i
qenë	q o n E
sa	s a
mirë	m i r 3
sot	s o t
ndërsa	nd~ 3 s a
Por	o r
para	p a r a
thënë	th~ 3 n 3
ata	a t a
ndaj	nd~ a x
thotë	th~ u t 3
apo	a p o
tjetër	ty~ E y r
jo	h o
ajo	c o
nëse	n e s e
Një	T a
Ai	i
marrë	m a* r 3
atë	a t 3
këto	k 3 t o
gjitha	gy~ i t h a
Kjo	h o
Për	3 r
mbi	b i
ditë	d i t 3
tjera	ty~ E
mos	n o S
cili	i l i
Sipas	i p a s
çdo	d o
tani	t a n i
ky	ky~
ju	C u
Nuk	u k
ose	o s e
Të	3
na	n a
pak	p a k
kohë	k o h 3
kësaj	k e s a x
sipas	s i p a s
rreth	r
kundër	k u nd~ 3 r
sepse	s e p s e
mes	t i m 3 s
qe	k E
shkak	S k a k
vend	f e n d
kam	k i t a
pjesë	ph~ p i p 3 3
vitin	v i t i n
këtij	k 3 i
pasur	p a s u r
ketë	k e t 3
Rama	a m a
tek	t e k
raste	r a s t e
ato	a t o
herë	h e r 3
ishin	i S i n
mënyrë	m E 5 r 3
Ne	e
cila	i l a
as	a s
reja	r e h a i
asnjë	a s nj~ 3
ri	r i
madhe	d e
Me	e
vitit	v i t i t
cilat	i l a t
persona	p e r s o n a
Po	o
ashtu	a s k i w
jemi	j e m i
madh	l
re	r e
euro	u
mijë	m i j 3
Më	3
Kosovë	o s o w 3
tonë	t o n E
ende	e n d e
milionë	m i l i o n E
pse	p s e
fund	f u nd~
Nga	g a
kaluar	k a l u a r
unë	u n E
vendin	f e n d i n
bëhet	b e h e t
cilët	i l 3
per	p e r
lartë	l a r t 3
brenda	b r e n d a
Është	S t 3
gjë	gy~ 3
siç	s i
politike	p o l i t i k e
Nëse	e s e
shqiptare	S g w i p t a r e
jenë	h e n E
Edhe	d e
gjithashtu	gy~ i t t a S k i w
dhënë	dh~ 3 n 3
Kosova	o s o v a
pandemisë	p a n d e m i s 3
Ajo	h o
Shqipëri	h e i p e r i
Unë	n E
duket	d u k e t
numri	n u mp~ r i
bën	b e n
çfarë	f a r 3
shqiptar	S g w i p t a r
dytë	d 3 t 3
përmes	a p i r 8 i m 3 s
Shqipërisë	h e i p e r i s 3
vendit	f e n d i t
Pas	a s
tre	t r e
qytetarët	qy~ t a r e
Presidenti	r e s i d e n t i
jetën	h e t e n
tjerë	ty~ E 3
koronavirusit	k o r o n a b i r u s i t
vetë	f e t 3
lidhje	l i d e
tashmë	t a S m 3
vendet	f e n d e t
keni	k e n i
rast	l s d a
njerëzit	n o x e r e z i t
qeverisë	E e r i s 3
njohur	nj~ o h u r
vendosur	f e n d o s e
bëjnë	b e
tillë	t i l l 3
shkruan	S k r u a n
Shëndetësisë	h 3 n d e t e s i s 3
kishin	k i S i n
Edi	d i
njerëz	n o x e r e
ti	t i
qeveria	E e r i a
Dhe	e
pritet	p r e
Qeveria	e e r i a
qytetarëve	qy~ t a r e v e
vit	v i t
iu	i u
Si	i
masat	m a s a t
muaj	m u a x
Shqipëria	h e i p e r i a
arritur	m a n i t u r
nën	n a n
jashtë	y a s t 3
Ndërkohë	d 3 r b o e
Kurti	u r t i
Ata	t a
fjalë	fy~ a dl~ 3
thuhet	th~ u h e t
kështu	k e s t u
ndryshme	ndr$ y S m e
jam	y a m
bëri	b e r i
ditur	d i t u r
mëdha	m E d a
Ka	a
punë	p u n E
Do	o
tuaj	t u a x
kërkuar	k 3 r a kw~ a r i
ndonjë	d o nj~ 3
vite	v i t e
vjen	v i
infektuar	i n f k t u a r
shtëpi	S t 3 p i
drejt	d r e h
ekonomike	e k o n o m i k e
aq	a q
nje	j e
Trump	r u m p a
ana	a n a
vështirë	v E n sC~ t i  r 3
shtetit	S t e t i
rasteve	r a s t e v e
këtu	k 3 u
dalë	d a l 3
vendi	f e n d i
Veriut	r i
rëndësishme	r 3 n d e s i S m e
viti	v i t i
Kur	u r
koronavirus	k o r o n a b i r u s
shpreh	S p r 3 h
qind	q i n d
këtyre	k 3 3 r e
vjet	v
ia	i a
përfshirë	a p i r f S i r 3
bëjë	b e 3
Ndërsa	d 3 s a
Gjatë	h a t 3
sotme	s o t l m e
sociale	s o k i a l e
gjendje	gy~ a j e
cilën	i l a n
Kryeministri	cy~ e m i n i s t r i
teksa	t a k s a
ndodhur	d o d u r
nisur	n i s u r
tregon	t r e g o n
vende	f e n d e
Ministria	i n i s t r e
vendim	f e n d i m a
lidhur	l i d u r
rëndë	r 3 n d 3
treguar	t r e g u a r
eshte	e s t e
publike	p u b l i k e
Serbisë	e r t 3
marrëveshje	m a* r 3 e S e
aty	a t
Meta	e t a
nevojë	n e v o h 3
thonë	t h o n E
Sot	o t
Tiranë	i r a n E
kërkon	k 3 r k o n
vërtetë	v E n r t 3
mbetet	mb~ e t e
di	d i
jeni	h e n i
masa	s m a s a
punës	p u n E
shkruar	S k r u a r
publik	p u b l i k
ardhur	a r d u r
ditën	d i t e n
ndër	nd~ 3 r
zgjedhjet	z gy~ e d
koronavirusi	k o r o n a b i r u s i
hapur	h a p u r
përket	a p i r k e t
qartë	q o m i 7 t 3
marrin	m a* r i n
përpara	a p i p a r a
gjithmonë	gy~ i th~ z v i m E
tepër	t e p e r
javë	y a b 3
Hoti	o t i
filluar	b i l l u a r
prekur	p r i k u r u
thirrje	th~ i r e
çështje	e s jw~ e
Bashkuara	a S i k u a r a
masave	m a s a b e
vjeç	v
humbur	h u mb~ u r
mundësi	nd~ 3 s i
gati	g a t i
pranë	p r a n E
rritje	r jw~ e
Duke	u k e
atyre	ty~ 3 r e
kryeministri	k r e m i n i s t r i
Ju	u
je	j e
Policia	o l i i a
katër	k a t 3 r
deklaroi	d e k l a r o i
shprehur	S p r e h u r
bashku	b a S k u
krijuar	k r L i w a r
cilin	i l i n
midis	d i s
keq	k a q
a	a
arsye	a r S
Thaçi	h a i
shkuar	S a kw~ a r i
vdekur	v b k u r u
sërish	o r i S
politik	p o l i t i k
kryer	k r w u r
shpejt	s p e q
lënë	l 3 n 3
botë	b o t 3
vendeve	f e n d e v e
shqiptarët	S g w i p t a r e
transmeton	i t r i s m e t o n
theksoi	th~ e k s o i
presidenti	p r e s i d e n t i
kurrë	k u r 3
konfirmuar	q o n i k f i r m u a r
shëndetësore	S 3 n d e t e s o r e
kenë	k e n E
orë	u r 3
atëherë	a t 3 i* 3
virusit	v i r u s i t
diçka	d i
vazhdon	v a z h d o n
plotë	p l o t 3
gjithçka	gy~ i th~
veten	f e t e n
punën	p u n E n
shtuar	S t u a r
tona	t o n a
person	p e r o*
situatë	s i t u a t 3
Këto	3 t o
virusi	v i r u s i
njerëzve	n o x e r e z v e
Megjithatë	g b 8 a t 3
regjistruar	r E gy~ % l u z a r i
rritur	r i t u r
numrin	n u mp~ n i n
shqiptarë	S g w i p t a r 3
ndërkohë	nd~ 3 r b o e
personave	p e r s o n a b e
takim	t a k i m
folur	f o l u r
publikuar	p u b l i k u a r
fortë	f o r t 3
vogël	v o gw~ e L
fillim	b i l l i m
bashkë	b a S i k 3
Tiranës	i r a
rastin	r a s t i n
pacientë	p a k i e n t 3
bëjmë	b e h m 3
kush	w o j
Kështu	e s t u
policia	p o l i i a
deklaruar	d e k l a r u a r
Kosovën	o s o v E n i
mori	m o r i
pikë	p i k 3
Qeverisë	e e r i s 3
Facebook	a k r o k
Evropian	v o p i a n
pasojë	p a z a s 3
mjaft	m b u l a b
policisë	p o l i i o
Sa	a
gjetur	gy~ e t u r
Republikës	e p u b l i k 3
njoftuar	nj~ o f t u a r
mars	m a r
kaq	k a q
vet	f e d
derisa	d e r i s a
fakt	f a k
rrugë	r e 3
botën	b o t e n
Shqipërinë	h e i p e r i
lehtë	l e h t 3
nëpër	 a p i r
madje	l e
asaj	a s a x
numër	n u mp~ 3 r
vonë	v o n E
tilla	t i l l a
menjëherë	m e T a i* 3
orët	u r e
Demokratike	e m o k r a t i k e
merr	m e r
shtoi	S t o i
shqiptarëve	S g w i p t a r e v e
Itali	t a l i
pozitiv	p o z i t i
Pra	r a
momentin	m o p i N t i n
Ministri	i n i s t r i
ditës	d i y
mbajtur	b a h t u r
mundur	m u n d u r
zyrtare	z r t a r e
situata	s i t u a t a
tej	t a
kryesore	k r e s o r e
bë	b 3
shteti	S t e t i
pozitive	p o z i t i v E
Këtë	3 3
vitet	v i t e
drejtë	d r e h t 3
kohën	k o h a n
kthyer	k th~ w u r
mediat	m e d i a t
bazë	b a z 3
qëllim	q E ly~ l i m
mbyllur	b y L u r
presidentit	p r e s i d e n t i
fëmijët	f b i T a
ke	k e
pandemia	p a n d e m i a
atje	a t j e
dërguar	d 3 r g u a r
jep	h e p
Albin	l b i n
probleme	p l o b l 3 m 3
Deri	e r i
amerikane	a m e r i k a n e
Kuvendit	u w e n d i t
sjellë	s a q m u S 3
duan	d u a n
asgjë	a s gy~ 3
dorë	d o r 3
lekë	l E k E 3
zgjedhjeve	z gy~ e d k u s k
mua	m u a
situatën	s i t u a t e n
mira	m i r a
raporton	r a p o r t o n
Basha	a s a
ndërkombëtare	nd~ 3 r m i b 3 a r e
shëruar	e r u a r
miliardë	m i l i a r d 3
Gjithashtu	h i t t a S k i w
ardhshme	a r d S m e
shënuar	S 3 n u a r
sesa	s 3 s a
vënë	v 3 n 3
ndodh	n t o t
vijnë	v i y
moment	m o p i N
këta	k 3 t a
Serbia	e r b i E a
zgjedhje	z gy~ e d e
pjesën	ph~ E o n
paktën	p a k y n
ndeshje	n a m a k e
ministri	m i n i s t r i
financiare	f i n a n C i a r e
njëjtën	T a y n
amerikan	a m e r i k a n
pesë	p e S 3
rastet	r a s t e
ndryshe	ndr$ e
dot	d o t
institucionet	s t i t u k i o n e t
orëve	u r e v e
sikur	s i k u r
media	m e d i a
periudhë	p e r i u d e
qershor	E r C o r
bëhen	b e h e n
fituar	f i t u a r
ditët	d i y
rëndësishëm	r 3 n d e s i S b
spital	s p i t a l
veçantë	v  a n t 3
dje	j e
ndihmë	n t i 7 m 3
Që	3
Kryetari	cy~ e t a r i
dashur	d a S u r
them	th~ e m 3
ardhmen	a r 8 m e n
virusin	v i r u s i n
Maqedonisë	a q e d o n i S 3
shpesh	S m i
lajmi	l a h m i
Gjykata	hy~ k a t a
aktualisht	a k t u a l i sC~ t i
ja	y a
viteve	v i t e v e
Ramës	a m e 7
Kombëtar	b 3 a r
rrugën	r e a n
detyrë	d e t e r a 3
Tani	a n i
Janë	a n E
zhvilluar	z h v i l l u a r
fuqi	f u i r a
dha	d a
larg	m a g
tretë	t r e t 3
afër	a f 3 r
tregojnë	t r e g o x n E
shtet	S e th~
shprehet	S p r e h e t
vendimin	f e n d i m i n
milion	m i l i o n
pastaj	p a s t a x
kërkojnë	k 3 r k o x n E
minuta	m i n u t a
Ilir	l i r
shkaktuar	S  k t u a r
sidomos	s i d o m o s
familjes	b o m e L i
larta	nz~ i t a
pra	p r a
jetës	h e y
familje	b o m e L e
vazhdojnë	v a z h d o x n E
kryesisht	k r e s i sC~ t i
mbetur	mb~ e t u r
luftës	l u f y
puna	p u n a
kryeministrit	k r e m i n i s t r e
kurse	k u r s e
prill	p r i l
Kemi	e m i
personat	p e r s o n a t
duhej	d u h e
problem	p l o b l 3 m
Gjermani	h e r m a n i
Duhet	u h e t
pavarësisht	p a b a r e s i sC~ t i
Shtetet	h e th~ e th~
koha	k o h a
Numri	u m r i
jashtëzakonshme	y a S y z a k o n C m e
nevojshme	n e v o h S m e
herët	h e r e
kohës	k o h 3
orën	u r e n
fëmijë	f b i j 3
përgjithshëm	a p i r gy~ i t e m
maj	m a x
penale	p e n a l e
ekonomik	e k o n o m i k
kushtet	w o j  t e
tjerët	ty~ E 3
viktima	v i k t i m a
Policisë	o l i i o
njoftoi	nj~ o f t o i
infektuarve	i n f k t u a r v e
autoritetet	a u t o r i e th~ e th~
ndodhi	d o d i
ulët	u l 3
muajin	m u a j i n
ora	o r a
fare	f a r e
kujdes	k u h b
sigurisë	s i g u r i s 3
tanë	t a n E
njeri	n o x e r i
punuar	p u n u a r
dhënat	dh~ 3 n a t
shkon	S k o d i
njofton	nj~ o f t o n
hap	h a p
sëmundje	s b i j e
serbe	s e r b e
parasysh	p a r a s 3 S
kushte	w o j  t e
shumta	S u m d a
akoma	a k o m a
total	t a t a l
shihet	S i p e t
rënë	r 3 n 3
Kushtetuese	u s t e t u e s e
Osmani	s m a n i
qeveri	E e r i
mendoj	m e n d o x
pati	p a t i
proces	p r o k m 3 s
bukur	b u k u r
Së	3
Vetëm	e y m
lirë	l i l 3
lloj	l
gjashtë	gy~ a S t 3
arrestuar	m a n e s t u a r
kryesor	k r e s o r
botës	b o y
dalin	d a l i n
rezultuar	r d u l t u a r
fundmi	f u nd~ m i
erdhi	e r d i
Disa	i s a
opozitës	L o k 5 y
ardhshëm	a r d e m
qytetarë	qy~ t a r 3
shpejtë	s p e q t 3
pranuar	p r a n u a r
Çfarë	f a r 3
Shtetit	h t e t i
përgjigje	a p i r gy~ i e
Italia	t a l i a
pari	p a r i
video	v i d e o
ftuar	f t u a r
kohe	k o h e
vitesh	v i c i
gjermane	gy~ e r m a n e
ligjit	l i gy~ i t
vete	f e t e
tim	t i m
Botërore	o y r o r e
pikërisht	p i k 3 r i sC~ t i
dollarë	d o l l a r 3
atij	a t i
zgjidhje	z gy~ i d e
shëndetësor	S 3 n d e t e s o r
duhur	d u h u r
Gjykatës	hy~ k a y
raport	r a p o r
drejtuar	d r e h t u a r
rinj	r i
ndarë	d a r 3
Zi	i
rezultat	r d u l t 3 t
përbashkët	a p i r b a S i k 3
ndoshta	d o S t i m a 7
gjithsej	gy~ i th~ sx~ e xe
jonë	j o n E
shume	S u
krye	k r
përveç	a p i g a r 3
qytetin	qy~ t e t i n
janar	h a n a r
jeta	h e t a
tu	t u
Kam	a m
foto	f o t o
poshtë	p o s t 3
punojnë	p u n o x n E
drejtim	d r e h t i m
Berisha	r i S a
numrit	n u mp~ r e
shohim	S o h i m
bizneset	b i z n e s
thjesht	th~ h sC~ t i
rënie	r 3 n i e
intervistë	i n t E r i s t 3
vazhdojë	v a z h d o h 3
ynë	y
time	t i
Siç	i
korrik	k o r i
Ministrisë	i n i s t r e o
ndodhë	d o d e
Hashim	a S i m a
bënë	b 3 n 3
juaj	w a h
qytetit	qy~ t e t i
Klan	l a n
Partisë	i t i s 3
dhënave	dh~ 3 n a b e
situatës	s i t u a t 3
zgjedhur	z gy~ e d u r
theksuar	th~ e k s u a r
Prandaj	r a n
masë	s 3
Mos	o s
askush	a s k u
Shumë	h u m 3
Tirana	i r a n a
sigurt	s i g r
nëpërmjet	 a p i r m
mbështetje	b e s t j e
përsëri	a p i r o r i
Donald	o n a l
dua	d u a
siguruar	s i g a r
kisha	k i S a
nesër	n e o r
raportuar	r a p o r t u a r
ndihmuar	n t i 7 a r
qeverinë	E e r i
bashkëpunim	b a S i k 3 p u n i m
futbollit	f u t b o l l i t
institucioneve	s t i t u k i o n e v e
reaguar	r e a g u a r
Komisioni	o m i s i o n i
vlerë	v l e r 3
përdorur	a p i r d o r u r
kreu	k r E u
ngritur	N r i t u r
mundësinë	nd~ 3 s i
anë	a n E
jane	h a n e
online	o n l i n e
shkojnë	S k o x n E
veçanërisht	v  a  r i sC~ t i
koronavirusin	k o r o n a b i r u s i n
vdekje	v d e k e
Prishtinë	r i S t i
social	s o k i a l
gjëra	gy~ 3 r a
Jo	o
ndodhet	n t u c e t
dihet	d i h e t
kombëtare	m i b 3 a r e
kuadër	k u a d 3 r
rrjetet	r o x e t e
deklaratë	d e k l a r a t 3
arriti	m a n i t i
ndeshjen	n a m a k i
Ishte	s t e
bëj	b e
zbuluar	z b u l u a r
fillimi	b i l l i m i
emrin	e m n i n
përhapjes	a p i n  ph~ i
flet	f l e t
vogla	v o gw~ l a
popullit	p o p u l l i t
ditëve	d i y v e
vendimi	f e n d i m i
Serbinë	e r b i
kryetari	k r e t a r i
japin	y a p i n
ndaluar	nd~ a r u a r
shtator	S t a t o r
thanë	th~ a n E
aktive	a k t i v E
Gjermania	h e r m a n i a
shembull	S e m b u l o
Jam	a m
orës	u r e
ligjore	l i gy~ o r e
procesin	p r o k e s i n
viktimave	v i k t m a b e
rrezik	r m u
tri	t r i
luftën	l u f y n
