we	w i
bilen	b i l e n
Türkmenistanyň	3 r k m E n i s t a 5 a
boýunça	b o u n a
üçin	3 i n
hem	h e m
bu	b u
döwlet	d k l e t
Bu	u
bolan	b o r a n i
tarapyndan	t a r a py~ nd~ a n
milli	m i l l i
halkara	h a l k a n a r a
uly	u l u k
bolup	b o l u p
bolsa	b o l s a
bir	b i r
amala	a m a l a
täze	t 3 z e
Döwlet	k l e t
ýokary	k a d
ýerine	e r i n e
öz	o
onuň	n u a
barada	b a r a d a
Prezidentimiz	r a  d e n t i m i z
türkmen	m a n t r k m e n
şu	S u
ýurdumyzyň	g o m u z  y a
degişli	d e g i S
Gurbanguly	u r b a n g u l u k
ýaly	t a ly~
şeýle	S e l e
beýleki	b e l e k i
üpjün	3 ph~ o N
ähli	E h t i l i
ýylyň	y u l y a
iş	i S
şol	S o l
daşary	d o S a r
sport	s p o r
etmek	e t w i t a
hormatly	h o r m a L
laýyklykda	l a y k ly~ k d a
Şu	u
olaryň	o l 3 b ry~ n
öňünde	o a 3 nd~ e
boldy	b o l d
möhüm	h w a t a 7 i m
ýerde	e r d e
Baştutanymyz	a S t u t a 5 m u z
kabul	k a b u l
edýär	p i e d 3 r
alnyp	a l 5 p
Hormatly	o r m a L
berdi	b E r d i
göz	g o
Şeýle	e l e
Milli	i l l i
dürli	d 3 l i
esasy	e s a s
Berdimuhamedow	e r d i m u a m e d o
durýar	d u r a r
aýratyn	a r a ty~ e n
Liderimiz	d i n i m i z
hakynda	h a k nd~ a
häzirki	h 3 z e m a
iň	i a
babatda	b a b a t d a
diýip	d i i p
iki	i k i
alyp	t a ly~ p
hukuk	h u k u k
dowam	d o w a m
bar	b a r
durmuşa	d u r m u S a
çenli	l i
işler	i S l e r
taýdan	t a d a n
gün	N n
dünýä	d i
ol	o l
işleri	i S l e r i
edýän	p i e d 3 n
belledi	b e l l e d i
Türkmenistan	3 r k m E n i s t a n
çäklerinde	3 k l e r i d e
hökmünde	h k m 3 nd~ e
netijeli	n e t i j e l i
köp	k n 3 p
baradaky	b a r a d a k
ýyl	y u l
habar	h a b a r
ýylda	y u l d a
arasynda	a r a s 3 n d a
edilen	e d i l e n
etdi	e t d i
her	h e r
bellenilen	b e l l e n i l e n
berilýär	b E r e l 3 r
almak	a l
eýe	e e
Ministrler	i n i s t r l e r
diňe	d i a e
geçirilen	g  i r i l e n
ykdysady	y k o s a d
Türkmen	3 r k m e n
edilýär	e d i l 3 r
Soňra	o a r a
özara	o z a r a
dowamynda	d o w a m 3 n d a
geçirmek	g  i r w i t a
bilner	b i l n 3 q
madda	d a 7
Şunuň	u n u a
işleriň	i S l e r i a
sanda	s a n d a
durmuş	d u r S
hasabat	h a s a b a t
zerur	z e r u r
ýurdumyzda	g o m z d a a
Aziýa	z i a
iri	i r i
ýol	o l
wagtda	w a g t d a
giň	g i a
biri	b i r i
özi	o
Şol	o l
ilkinji	i l v a s i N g i
birnäçe	b 3 r n 3 e
biziň	b i s i m a
baglylykda	b o g ly~ ly~ k d a
umumy	u m u m
Prezidenti	r a  d e n t i
aşyrylýar	o S y hy~ l a r
Türkmenistanda	3 r k m E n i s t a n d a
ajaýyp	s u y p
geçirilýän	g  i r i l 3 n
arkaly	a r q u
örän	o r 3 n
ösüş	o s 3 S
aýtdy	a t t a
geçirildi	g  i r i l d i
esasynda	e s a s 3 n d a
soň	s o a
hojalyk	h o x a ly~
yzygiderli	y z y g i d i n l i
doly	t o r
başga	b o S g a
ulag	u l a g
berýär	b E 3 r
okuw	o k u
Häzirki	3 z e m a
Eger	g e r
gatnaşyklary	g a t n 3 S a q
etmäge	e t m 3 g e
Merkezi	e r k e z i
işi	i S i
çykyş	y ky~ S
ýardam	a r d a m
barşynda	b a r S y nd~ a
hakyndaky	h a k h k
oba	o b a
edip	e l
salgyt	s a l Z
tertipde	t E r t e p d e
medeni	m e d e n i
mümkinçilik	m m 3 3 5 i p e i l i k
gezek	g e z e k
gümrük	N m a s
ýaşaýyş	o S a y S
müň	m 3 a
döwürde	d k 3 r d e
mundan	m u n d a n
ýurt	r
ösdürmek	o s d a 3 s a y m 3
birinji	b i r i nj~ i
mynasyp	m 3 n a s 3 p
onda	o n d a
Kabinetiniň	a b i n e t i n i a
bermek	b E w i t a
edaralarynyň	e d a r 3 l 3 ry~ 5 a
ýurduň	g o a
kazyýet	k a Z y e t
