va	v a
bilan	b i l a n
ham	h a m
bir	b i r
yoki	y o k i
km	k m
boʻlgan	b o 7 l g a n
esa	e s a
boshqa	b o S k
suv	s u
bor	b o r
boʻlib	b o 7 b u C o
Bu	u
bu	b u
uning	u n i N
deb	d e
tashkil	t a S a q i l
mumkin	m u m k i n
ishlab	i S l a b "
boʻladi	b o 7 l a d i
katta	k a t t a
eng	i N
hosil	h o s i l
ega	e g a
Shundan	h u nd~ a n
qiladi	q i l a d i
olib	o l i
oʻz	o 7
quruqlik	q u r u k b u C o
u	u
hamda	h a m d a
sifatida	s i f a t i d a
maydonidir	m a y d o n i d i r
iborat	i b o r a t
asosiy	a s o s i
har	h a r
mavjud	m a b h u d
tomonidan	t o m o* i d a n
yil	y i l
ming	m i N
Oʻzbekiston	7 z n t u mb~ i s t o n
turli	t u r l i
edi	e d i
shu	s u
asosan	a s o s a n
ga	g a
kabi	k a b i
koʻp	k o 7 p
qilish	q i l i S
dan	d a n
davlat	d a b l a t
qismi	g w i h s m i
joylashgan	j o y l a S g a n
keng	k e n
etilgan	e t i l g a n
qilgan	q i l g a n
orqali	u r q a l i
shuningdek	S u n i N b
boshqalar	b o S k  l a r
kishi	k i S i
muhim	m u h i m
yirik	i r i k
ikki	i k k i
yangi	y a n g i
biri	b i r i
hisoblanadi	h i s o b l a n k o a d i
yuqori	y u pw~ o r i
paydo	p a y d o
xalq	S a q
ta	t a
etgan	e t g a n
ilmiy	i l m i
Toshkent	o S k e nt~
yilda	y i l d a
ularning	b e r n i N
qilib	q i l i
xil	S i l
etadi	e t a d i
ular	u l a r
olish	o l i S
juda	x u d a
qilingan	q i l i N a n
beradi	b E r a d i
da	d a
uni	u n i
keyin	k e i n
nomi	n o m i
yaqin	y a q i n
Uning	n i N
koʻra	k o 7 r a
qarshi	q o m i 7 S i
milliy	m i l l i
boʻlishi	b o 7 l i S i
maxsus	m a s u s
umumiy	u m u m i
davrida	d a b r i d a
olgan	o l g a n
shahar	S a h a r
asosida	a s o s i d a
natijasida	n a t i y a s i d a
keladi	k e l a d i
kelib	k e l i
kelgan	k e l g a n
bogʻliq	b o N 7 l i q
ning	n i N
xos	S o s
Shu	h u
xizmat	S i z e m a t
yildan	y i l d a n
turadi	t u r a d i
Oʻrta	7 t a
oladi	o l a d i
boʻldi	b o 7 l d i
Respublikasi	e s p u b l k a s i
elektr	e l e k tr~
qishloq	q i S l o q
yaxshi	y a x S i
bosh	b o S
ni	n i
amalga	a m a l g a
qabul	q a b u l
qayta	q a i t a
Oʻzbekistonda	7 z n t u mb~ i s t o n d a
haqida	h a q i d a
kiradi	k i r a d i
ayrim	a y r i m a
emas	e m a s
markazi	m a* r kh~ a z i
birga	b 3 r g a
yana	y a n a
olingan	o l i N a n
marta	m i t a
oʻzbek	o 7 z k
qilinadi	q i l i n a d i
faqat	f a 7 a t
holda	h o l d a
Ular	l a r
ortiq	u r t i
yer	y e r
unga	u N a
harbiy	h a r b i E
soʻng	s o 7 N
orasida	o r a s i d a
xoʻjaligi	S o 7 j a l i g i
tashqari	t a S o m a r i t o
Aholisi	h o l i s i
tarqalgan	t a r q a l g a n
qarab	q a r a b
tufayli	t u y " a s a
vujudga	v u h u d g a
sanoat	s a n o a t
nisbatan	n i s b a t a n
Osiyo	s i y o
ishlari	i s L a r i
sanoati	s a n o a t i
davom	d a v o m
oʻrta	o 7 t a
rivojlangan	r i v o h l a N a n
topgan	t o p g a n
m	m
qolgan	q o l g a n
ish	i S
oid	o i d
ijtimoiy	g i y t i m o i
tabiiy	t a b u i
davomida	d a v o m i d a
korxonalari	k o r S o n a l a r i
musiqa	s i k a
jumladan	x u m l a d a n
rus	r u s
xalqaro	S a q a r o
yillik	y i l l i k
qildi	q i l d i
yordamida	y o r d a m i d a
alohida	a l o h i d a
mashhur	m a Ch~ u r
soni	s o n i
tili	t i l i
ishlatiladi	i S l a t i l a d i
badiiy	b a Z u i
iqtisodiy	i k  s o d i
yoʻl	y o 7
toʻgʻri	t o 7 g 7 r i
jihatdan	h i h a t d a n
Buxoro	u S o r o
ayniqsa	a y n i k s a
oʻzaro	o 7 z a r o
oʻziga	o 7 z i g a
Yer	e r
Ushbu	S b u
tashqi	t a S i r a
gaz	g a z
hozirgi	h o  r g i
asos	a s o s 3
jahon	y a h o n
mas	m a s
yerda	y e r d a
faoliyat	f a o l i y a t
olinadi	o l i n a d i
viloyati	v i l o y a t i
turi	t u r i
muayyan	m u a y a n
nashr	n a S r
Rossiya	o s s i y a
shahri	S 3 r i
ilk	i l
kam	k i t a
dastlabki	d a s L a b k i
etish	e t i S
kerak	k e r a
vaqt	v a q
berilgan	b E r e l g a n
temir	t e m i*
undan	u n d a n
Shuningdek	h u n i N b
qanday	q a nd~ a y
turlari	t u r l a r i
yillarda	y i l l a r d a
boʻlsa	b o 7 l s a
etib	e t i
tumani	t u m a n i
ularni	b e r n i
mahalliy	m a h a ly~ i
davrda	d a b r d a
yarim	y a r i m
fan	f a n
asarlari	a s a l a r i
dengiz	i s u r i z
togʻ	t o x u
foydalaniladi	f o i 8 a l a n i l a d i
qattiq	q a t t i
kun	kw~ n
ishtirok	i S t u r o k
ravishda	r a w i S d a
qoladi	q o l a d i
Davlat	a b l a t
Har	a r
bergan	b e r g a n
butun	b u t u n
oliy	o l i
harakat	h a r a
Bir	i r
tarkibiga	t a r k i b i g a
tarixiy	t a r i n
berish	b e r i S
ajralib	c r a l i
boradi	b o r a d i
Yevropa	p i r a z i
boshladi	s L a d i
neft	n e f
ataladi	a t a l a d i
davri	d a b r i
siyosiy	s i y o s i
yoʻli	y o 7 l i
kimyoviy	k i m o w i
savdo	s a b d o
arab	a r a b
moddalar	m o d d a l a r
sababli	s a b a b l i
ostida	o s t i d a
tarkibida	t a r k i b i d a
etdi	e t d i
keldi	k e l d i
lekin	l e k i N
Ozarbayjon	z a r b a y cx~ o*
qismida	g w i h s m i d a
tuzilgan	t u  l g a n
Bunday	u n d a y
ahamiyatga	a h a m i y a t g a
odam	o d a m
avvalgi	a b v a l g i
boʻlinadi	b o 7 l i n a d i
tez	t e z
ushbu	u s b u
haqidagi	h a q i d a g i
Milliy	i ly~ i
sabab	s a b a b
etiladi	e t i l a d i
farq	f a r
qurilgan	k r e l g a n
Markaziy	a r kh~ a z i
inson	s o n
boshlab	s L a b
maqsadida	m a q s a d i d a
yordam	y o r d a m
faoliyati	f a o l i y a t i
koʻrsatadi	k o 7 s a t a d i
instituti	s t i t u t i
yuzaga	y u c a G a
hududida	h u d u d i d a
vaqtda	v a q t d a
aks	a k
havo	h a v o
uzoq	u z o q
markaziy	m a* r kh~ a z i
oldi	o l d i
etildi	e t i l d i
keyingi	k e i N i
oʻrtasida	o 7 r t a s i d a
tarixi	t a r i x i
aholi	a h o l i
ijro	g i y r o
koʻplab	k o 7 p l a n a b "
qadar	q a d a r
mustaqil	s t a q i l
oʻrin	o 7 n i n
Samarqand	a m a r q o n d
tilida	t i l i d a
oʻzining	o 7 z i n i N
yuz	y u
qator	q a t o r
Hozirgi	o  r g i
ishlash	i S p i S
qoʻllaniladi	q o 7 y a n i l a d i
qilindi	q i l i n d i
mamlakat	m a m l a k a t
oʻquv	o 7 k
Buyuk	u y u k
yaratilgan	y a r a t i l g a n
aholisi	a h o l i s i
ammo	a m m o
turgan	t u r g a n
mahsulotlari	m a 7 s u l o L a r i
mansub	s u b
berdi	b E r d i
murakkab	m u r a k a b "
bolalar	b o l a l a r
teng	t e
miqdori	m i k d o r i
aniq	a n i
faol	f a o l
koʻproq	k o 7 p r o q
Bunda	u n d a
avtomobil	a o m o b i l
balki	b a l u k i
nomidagi	n o m i d a g i
qon	q o n
deyiladi	d e y i l a d i
tizimi	t i z i m i
zarur	z a r u r
oʻzi	o 7
davr	d a b r
degan	d e g a n
deyarli	d e y a l i
mehnat	m e h n a t
yozgan	y o z g a n
yili	y i l i
asoslangan	a s o s l a N a n
Bundan	u n d a n
Lekin	e k i N
Sharq	h a r
Yangi	a n g i
oʻtgan	o 7 t g a n
foydalanish	f o i 8 a l a n i S
Ammo	m m o
madaniy	d a n i
himoya	h i m o y a
odatda	o d a t d a
qurilish	q u r i l i S
Navoiy	a v o i
oddiy	o d i
paxta	p a r a
sodir	s o d i r
mayda	m a y d a
koʻrsatgan	k o 7 s a t g a n
bosib	s i
tibbiyot	t i b e k u y o t
boy	b o y
boʻlmagan	b o 7 l m a g a n
unda	u n d a
shahrida	S 3 r i d a
madaniyat	d a n i y a t
oʻsimliklar	o 7 b u p l i k a r
Ularning	l a r n i N
akademiyasi	a k a d e m i y a s i
diniy	d i n i
maktabi	k t a b i
hayvonlar	h a y v o n l a r
teatr	t e a t r 3
Asosiy	s o s i
