'll	l 3l
'm	3m
're	3
's	z s
've	3v v
a	ei 3
a's	eiz
aardvark	odvok
aardvarks	odvoks
aardwolf	odwulf
aaron	E3r3n
aba	abE
abaca	EbEka
aback	abEk 3bEk
abacus	EbEk3s
abacuses	Ebak3siz
abalone	abEl3un
abandon	3bEnd3n abEnd3n
abandoned	3bEnd3nd abEnd3nd
abandoning	abEnd3niN
abandonment	abEnd3nm3nt
abandons	abEnd3nz
abas	abEz
abase	abeis
abasement	abeism3nt
abashed	abESt
abate	abeit 3beit
abated	abeitid
abatement	abeitm3nt
abates	abeits
abating	abeitiN
abattoir	Ebatwo
abattoirs	Ebatwoz
abb	Eb
abba	Eba
abbess	EbEs
abbesses	EbEsiz
abbey	Ebi
abbeys	Ebiz
abbot	Eb3t
abbots	Eb3ts
abbreviate	3brivieit abrivieit
abbreviated	abrivieitid
abbreviates	abrivieits
abbreviating	abrivieitiN
abbreviation	abrivieiS3n
abbreviations	abrivieiS3nz
abdicate	Ebdikeit
abdicated	Ebdikeitid
abdicates	Ebdikeits
abdicating	EbdikeitiN
abdication	EbdikeiS3n
abdomen	Ebd3m3n
abdomens	Ebd3m3nz
abdominal	Ebdomin3l
abduct	abdokt
abducted	abdoktid
abducting	abdoktiN
abduction	abdokS3n
abductions	abdokS3nz
abductor	abdokta
abductors	abdokt3z
abducts	abdokts
abeam	abim
abed	abEd
abel	eib3l
aberdeen	Eb3din
aberdeenshire	Eb3dinS3
aberrant	abEr3nt
aberration	Eb3reiS3n
aberrations	Eb3reiS3nz
abet	abEt 3bEt
abetted	abEtid
abetting	abEtiN
abeyance	abei3ns
abhor	3bho abho
abhorred	abhod
abhorrence	abhor3ns
abhorrent	abhor3nt
abhorring	abhoriN
abhors	abhoz
abide	3baid abaid
abided	abaidid
abides	abaidz
abiding	abaidiN
abies	abaiz
abigail	Ebigeil
abilities	3bilitiz abil3tiz
ability	abil3ti 3biliti
abingdon	EbiNd3n
abjection	EbdZEkS3n
abjectly	EbdZEktli
abjure	abdZyo
ablation	ableiti3n
ablaze	ableiz
able	eib3l
abler	eibla
ablest	eibl3st
ablution	abluS3n
ablutions	abluS3nz
ably	eibli
abnegate	Ebnigeit
abnegation	EbnigeiS3n
abnormal	Ebnom3l abnom3l
abnormalities	abnomElitiz
