a-vorto	avorto
abandoni	abandoni
abandono	abandono
abasido	abasido
abaso	abaso
abatejo	abateio
abatinejo	abatineio
abatino	abatino
abato	abato
abdiki	abdiki
abdiko	abdiko
abdomeno	abdomeno
abela	abela
abeledoj	abeledoi
abelejo	abeleio
abelino	abelino
abelisto	abelisto
abelmanĝulo	abelmanjulo
abelo	abelo
abelreĝino	abelrejino
abelsvarmo	abelsvarmo
abelujo	abeluio
abelŝedo	abelSedo
aberacii	aberacii
aberacio	aberacio
abidarmo	abidarmo
abio	abio
abisma	abisma
abismo	abismo
abiturienta ekzameno	abiturienta ekzameno
abituriento	abituriento
ablacia aĝo	ablacia ajo
ablacio	ablacio
ablativo	ablativo
abnegacia	abnegacia
abnegacio	abnegacio
aboco	aboco
abocolibro	abocolibro
aboli	aboli
abolicii	abolicii
abomena	abomena
abomenaĵo	abomenaZo
abomeni	abomeni
abomeninda	abomeninda
abomeno	abomeno
aboni	aboni
abonigi	abonigi
abonilo	abonilo
abono	abono
aborigena	aborigena
aborigeno	aborigeno
aborta rimo	aborta rimo
abortaĵo	abortaZo
aborti	aborti
abortigi	abortigi
aborto	aborto
abortulo	abortulo
abrakadabro	abrakadabro
abrikotarbo	abrikotarbo
abrikoto	abrikoto
abrikotujo	abrikotuio
abrotano	abrotano
abrupta	abrupta
absceso	absceso
absciso	absciso
absideto	absideto
absido	absido
absintaĵo	absintaZo
absinto	absinto
absoluta	absoluta
absoluta monopolo	absoluta monopolo
absoluta sonsento	absoluta sonsento
absoluta valoro	absoluta valoro
absolute konverĝa	absolute konverja
absolutismo	absolutismo
absolvi	absolvi
absolvo	absolvo
absorbi	absorbi
absorbiĝi	absorbiji
abstinado	abstinado
abstinenco	abstinenco
abstini	abstini
abstrakta	abstrakta
abstrakti	abstrakti
absurda	absurda
abunda	abunda
abundeco	abundeco
abundi	abundi
abundo	abundo
abutmento	abutmento
aceracoj	aceracoi
acerba	acerba
acero	acero
acetato	acetato
acetileno	acetileno
acetilo	acetilo
aceto	aceto
acetono	acetono
acida	acida
acido	acido
acipenseredoj	acipenseredoi
acipenserformaj	acipenserformai
acipensero	acipensero
adam	adam
adamo	adamo
adapti	adapti
adaptilo	adaptilo
adasismo	adasismo
adaĝe	adaje
adaĝo	adajo
adekvata	adekvata
adeptigi	adeptigi
adepto	adepto
adhera	adhera
adheraĵo	adheraZo
adheri	adheri
adhero	adhero
adianto	adianto
adiaŭ	adiau
adiaŭdiri	adiaudiri
adiaŭi	adiaui
adiciato	adiciato
adicii	adicii
adicio	adicio
adjektivo	adyektivo
adjudanto	adyudanto
adjudiki	adyudiki
adjudiko	adyudiko
adjunkto	adyunkto
adjutanto	adyutanto
administracio	administracio
administraj notoj	administrai notoi
administrantaro	administrantaro
administrejo	administreio
administri	administri
admiralitato	admiralitato
admiralo	admiralo
admiri	admiri
admitanco	admitanco
admoni	admoni
admono	admono
adobo	adobo
adoleskanto	adoleskanto
adoleski	adoleski
adolesko	adolesko
adoleskulo	adoleskulo
adolfo	adolfo
adolta	adolta
adolteco	adolteco
adoltiĝi	adoltiji
adoltiĝo	adoltijo
adolto	adolto
adopti	adopti
adori	adori
adorkliniĝi	adorkliniji
adrenalino	adrenalino
adresanto	adresanto
adresaro	adresaro
adresato	adresato
adresi	adresi
adreso	adreso
adstringa	adstringa
adulta	adulta
adultado	adultado
adultaĵo	adultaZo
adultema	adultema
adulti	adulti
adultigi	adultigi
adulto	adulto
adultulino	adultulino
adultulo	adultulo
advento	advento
adverbo	adverbo
advokato	advokato
adzo	aco
aedo	aedo
aera	aera
aerarmeo	aerarmeo
aerkondukilo	aerkondukilo
aero	aero
aerobia	aerobia
aerodromo	aerodromo
aerofloto	aerofloto
aerokondukilo	aerokondukilo
aerolito	aerolito
aerometro	aerometro
aeronaŭtiko	aeronautiko
aeronaŭto	aeronauto
aeroplano	aeroplano
aerostato	aerostato
aerpirato	aerpirato
aerpumpilo	aerpumpilo
aertransporto	aertransporto
aerumi	aerumi
aerŝipo	aerSipo
aerŝtono	aerStono
afabla	afabla
afazio	afazio
afekcia	afekcia
afekcii	afekcii
afekcio	afekcio
afekta	afekta
afektaĵo	afektaZo
afektema	afektema
afekti	afekti
afektiva	afektiva
afekto	afekto
afektulino	afektulino
afektulo	afektulo
afelio	afelio
afera	afera
afereca	afereca
aferema	aferema
aferisto	aferisto
afero	afero
afganio	afganio
afgano	afgano
afganujo	afganuio
afidedoj	afidedoi
afido	afido
afikso	afikso
afina	afina
afina ebeno	afina ebeno
afina hiperebeno	afina hiperebeno
afina rekto	afina rekto
afina rotacio	afina rotacio
afina spaco	afina spaco
afina subspaco	afina subspaco
afiŝi	afiSi
afiŝo	afiSo
aflikti	aflikti
afliktiĝi	afliktiji
afliktiĝo	afliktijo
aflikto	aflikto
afonio	afonio
aforismo	aforismo
afranki	afranki
afrankite	afrankite
afrikano	afrikano
afrikato	afrikato
afriko	afriko
afrodita	afrodita
afrodito	afrodito
afto	afto
aftozo	aftozo
afusto	afusto
agaci	agaci
agapo	agapo
agaragaro	agaragaro
agarikacoj	agarikacoi
agariko	agariko
agato	agato
agavo	agavo
agema	agema
agendo	agendo
agentejo	agenteio
agento	agento
agi	agi
agiti	agiti
agleca	agleca
aglo	aglo
aglomeri	aglomeri
aglomero	aglomero
aglutina	aglutina
aglutini	aglutini
agnateco	agnateco
agnato	agnato
agnio	agnio
agnoski	agnoski
agnostikismo	agnostikismo
ago	ago
agonii	agonii
agonio	agonio
agorafobio	agorafobio
agordi	agordi
agordilo	agordilo
agordisto	agordisto
agordo	agordo
agrabla	agrabla
agrafi	agrafi
agrafo	agrafo
agresema	agresema
agresemo	agresemo
agresi	agresi
agreso	agreso
agrikulturisto	agrikulturisto
agrikulturo	agrikulturo
agro	agro
agronomiisto	agronomiisto
agronomio	agronomio
agronomo	agronomo
agropiro	agropiro
agroturismo	agroturismo
aha	aha
aideso	aideso
aidoso	aidoso
aidosulo	aidosulo
aikido	aikido
ailanto	ailanto
aina	aina
aino	aino
aj	ai
ajatolo	aiatolo
ajgena	aigena
ajgeno	aigeno
ajgenspaco	aigenspaco
ajgensubspaco	aigensubspaco
ajgenvaloro	aigenvaloro
ajgenvektoro	aigenvektoro
ajlo	ailo
ajmara	aimara
ajmaro	aimaro
ajn	ain
ajna	aina
ajurvedo	aiurvedo
ajuto	aiuto
akacio	akacio
akada	akada
akademiano	akademiano
akademio	akademio
akado	akado
akadujo	akaduio
akanto	akanto
akapari	akapari
akaro	akaro
akaĵuarbo	akaZuarbo
akaĵunukso	akaZunukso
akaĵuo	akaZuo
akaĵuo 	akaZuo
akaĵuujo	akaZuuio
akceli	akceli
akcelilo	akcelilo
akcelo	akcelo
