a-oikeudet	ooikeudet
a-pylväs	opilvEs
aakkonen	ookkonen
aakkosellinen	ookkosellinen
aakkosellisesti	ookkosellisesti
aakkosellisuus	ookkosellisuus
aakkosittain	ookkosittoin
aakkosjärjestys	ookkosyEryestis
aakkosnumeerinen	ookkosnumeerinen
aakkostaa	ookkostoo
aakkosto	ookkosto
aakkostus	ookkostus
aalloittain	oolloittoin
aalloittainen	oolloittoinen
aalloittaisuus	oolloittoisuus
aallokas	oollokos
aallokko	oollokko
aallonharja	oollonhoryo
aallonmurtaja	oollonmurtoyo
aallonpituus	oollonpituus
aallonpohja	oollonpohyo
aallota	oolloto
aallotar	oollotor
aallottaa	oollottoo
aallotus	oollotus
aaloe	ooloe
aalto	oolto
aaltoallas	ooltoollos
aaltoalue	ooltoolue
aaltoenergia	ooltoenergio
aaltoilla	ooltoillo
aaltoilu	ooltoilu
aaltolevy	ooltolevi
aaltoliike	ooltoliike
aaltopahvi	ooltopohvi
aaltopelti	ooltopelti
aaltopituus	ooltopituus
aaltosulje	ooltosulye
aaltosulku	ooltosulku
aaltosulkumerkki	ooltosulkumerkki
aaltoviiva	ooltoviivo
aaltovoimala	ooltovoimolo
aamen	oomen
aamiainen	oomioinen
aamiaismajoitus	oomioismoyoitus
aamiaistapaaminen	oomioistopoominen
aamiaistunti	oomioistunti
aamu	oomu
aamu-uninen	oomuuninen
aamu-unisuus	oomuunisuus
aamu-uutiset	oomuuutiset
aamuaskare	oomuoskore
aamuateria	oomuoterio
aamuhartaus	oomuhortous
aamuhämärä	oomuhEmErE
aamuinen	oomuinen
aamuisin	oomuisin
aamujumalanpalvelus	oomuyumolonpolvelus
aamujuna	oomuyuno
aamukahdeksan	oomukohdekson
aamukahvi	oomukohvi
aamukampa	oomukompo
aamukaste	oomukoste
aamukylmä	oomukilmE
aamulehti	oomulehti
aamulenkki	oomulenkki
aamullinen	oomullinen
aamulypsy	oomulipsi
aamulähetys	oomulEhetis
aamulämpö	oomulEmpe
aamunavaus	oomunovous
aamunkoite	oomunkoite
aamunkoitto	oomunkoitto
aamunraikas	oomunroikos
aamunsarastus	oomunsorostus
aamuntorkku	oomuntorkku
aamunvirkku	oomunvirkku
aamupahoinvointi	oomupohoinvointi
aamupala	oomupolo
aamupesu	oomupesu
aamupuoli	oomupuoli
aamupäivisin	oomupEivisin
aamupäivä	oomupEivE
aamurusko	oomurusko
aamuruuhka	oomuruuhko
aamusella	oomusello
aamutakki	oomutokki
aamutohveli	oomutohveli
aamutorkku	oomutorkku
aamutossu	oomutossu
aamutuimaan	oomutuimoon
aamutähti	oomutEhti
aamuvarhain	oomuvorhoin
aamuvarhainen	oomuvorhoinen
aamuvartio	oomuvortio
aamuvirkku	oomuvirkku
aamuvoimistelu	oomuvoimistelu
aamuvuoro	oomuvuoro
aamuyö	oomuie
aapa	oopo
aapasuo	ooposuo
aapinen	oopinen
aapiskirja	oopiskiryo
aapiskukko	oopiskukko
aaprotti	ooprotti
aari	oori
aaria	oorio
aarnialue	oorniolue
aarnihauta	oornihouto
aarnihonka	oornihonko
aarnikotka	oornikotko
aarnio	oornio
aarniohauta	oorniohouto
aarniometsä	oorniometsE
aarnipuu	oornipuu
aarnituli	oornituli
aarnivalkea	oornivolkeo
aaroninparta	ooroninporto
aarpora	oorporo
aarre	oorre
aarreaitta	oorreoitto
aarrehauta	oorrehouto
aarrekammio	oorrekommio
aarrekätkö	oorrekEtke
aarrelöytö	oorreleite
aarretuli	oorretuli
aarrevalkea	oorrevolkeo
aarteenetsijä	oorteenetsiyE
aarteisto	oorteisto
