abdisere	obdiser3
abnorm	obnorm
abonnere	obuner3
abort	obot
abortere	oboter3
absolutt	opsul3t
abstrakt	opstrokt
absurd	ops3d
adapter	odopt3r
addere	oder3
adekvat	od3kvot
adjektiv	ody3ktiv
adkomst	odkomst
adlyde	odlid3
administrasjon	odministroSun
administrativ	odministrotiv
administrere	odministrer3
adoptere	odopter3
adresse	odrEs3
adressere	odr3ser3
advare	odvor3
adverb	odvErb
affære	ofEr3
afghansk	ofgonsk
afrika	ofriko
aften	oft3n
aftens	oft3ns
agder	ogd3r
agere	oger3
aggressiv	ogr3siv
agitere	ogiter3
agnete	oNnet3
agurk	og3rk
akademisk	okodemisk
ake	ok3
akebrett	ok3br3t
aker	ok3r
akklimatisere	oklimotisEr3
akkompagnere	okumponyer3
akkumulere	ok3m3ler3
akselerere	oks3l3rer3
akseptabel	oks3ptob3l
akseptere	oks3pter3
aksje	okS3
aksjonere	okSuner3
akt	okt
aktbilde	oktbild3
akte	okt3
aktiv	oktiv
aktsom	oktsom
aktuell	okt3El
akustisk	ok3stisk
akutt	ok3t
akvarell	okvorEl
akvarellmaling	okvorElmoliN
alarmere	olormer3
alarmerende	olormer3n3
alarmsystem	olormsistem
albue	olb3
alder	old3r
aldrende	oldr3n3
aldri	oldri
ale	ol3
alene	olen3
alfabetisk	olfobetisk
alkoholfri	olkuhulfri
alkoholfritt øl	olkuhulfrit El
alle	7ol3
allegorisk	ol3gurisk
allerede	ol3red3
allergi	olErgi
allergisk	olErgisk
alliere	olier3
alliert	oliet
allmenn	olm3n
alltid	olti oltid
alpin	olpin
alt	olt
alter	olt3r
alternativ	oltEnotiv
altså	oltso
alvorlig	olvoLi
alvorlige	olvoLi3
alvorligere	olvoLir3
alvorligst	olvoLikst
alvorligste	olvoLikst3
amatørmessig	omterm3si
amatørmessige	omterm3si3
amatørmessigere	omterm3sir3
amatørmessigst	omterm3sikst
amatørmessigste	omterm3sikst3
ambassade	ombosod3
ambisiøs	ombisies
amerikansk	om3rikonsk
amerikansk-canadisk	om3rikonskonodisk
amme	om3
amper	omp3r
amputere	omp3ter3
amt	omt
an-	on
anaconda	onokondo
analog	onolog
analogisk	onologisk
analysere	onoliser3
analytisk	onolitisk
ananas	ononos
anarkistisk	onorkistisk
anatomisk	onotumisk
anbefale	onb3fol3
and	on
ande	on3
andektig	ondEkti
andektige	ondEkti3
andektigere	ondEktir3
andektigst	ondEktikst
andektigste	ondEktikst3
andpusten	onp3st3n
andre	ondr3
andreas	ondreos
ane	on3
anekdote	onEkdut3
anerkjenne	onErSEn3
angi	onyi
angivelig	onyiv3li
angivelige	onyiv3li3
angiveligere	onyiv3lir3
angiveligst	onyiv3likst
angiveligste	onyiv3likst3
angre	oNr3
angripe	ongrip3
angst	oNst
angsten	oNstn
angå	ongo
anholde	onhol3
anke	oNk3
ankel	oNk3l
anker	oNk3r
anklage	oNklog3
ankomme	oNkom3
ankre	oNk3r3
ankret	oNk3r3
anledning	onledniN
anmelde	onmEl3
anmode	onmud3
annen	o3n on3n
annerledes	on3Led3s
annonsere	onoNser3
anonym	onunim
anorakk	onurok
anorektisk	onurEktisk
ansatt	onsot
anse	onse
anselig	onseli
anselige	onseli3
anseligere	onselir3
anseligst	onselikst
anseligste	onselikst3
ansette	onsEt3
ansikt	onsikt
anskaffe	onskof3
anslå	onSLo
anspent	onspEnt
anstendig	onstEni
anstendige	onstEni3
anstendigere	onstEnir3
anstendigst	onstEnikst
anstendigste	onstEnikst3
anstrenge	onstrEN3
anstrenge seg	onstrEN3sEi
anstrengende	onstrEN3n3
ansvarlig	onsvoLi
ansvarlige	onsvoLi3
ansvarligere	onsvoLir3
ansvarligst	onsvoLikst
ansvarligste	onsvoLikst3
ansvarsfull	onsvoSf3l
ansvarsløs	onsvoSLes
anta	onto
antaste	ontost3
antenne	ontEn3
antikk	ontik
antikvarisk	ontikvorisk
antisemittisk	ontis3mitisk
antrekk	ontr3k
antyde	ontid3
anvende	onvEn3
anvise	onvis3
aparte	opot3
apatisk	opotisk
ape	op3
apokalypse	opukolips3
apokalyptisk	opukoliptisk
apostel	opost3l
apotek	oputek
apparat	oporot
appelere	op3ller3
appell	opEl
appellere	op3ler3
appelsin	op3lsin
appetitt	op3tit
appetittlig	op3titli
appetittlige	op3titli3
appetittligere	op3titlir3
appetittligst	op3titlikst
appetittligste	op3titlikst3
applaudere	oplE3der3
applaus	oplE3s
aprikos	oprikus
april	opril
arabisk	orobisk
arbeid	orbEid
arbeide	orbEid3
arbeider	orbEid3r
arbeidsledig	orbEidsledi
arbeidsledige	orbEidsledi3
arbeidsledigere	orbEidsledir3
arbeidsledigst	orbEidsledikst
arbeidsledigste	orbEidsledikst3
arbeidsløs	orbEidsles
arbeidsom	orbEidsom
arg	org
argument	org3mEnt
argumentere	org3m3nter3
ark	ork
arkaisk	orkoisk
arkeolog	ork3ulog
arkeologi	orkEulugi
arkeologisk	ork3ulogisk
arkitekt	orkitEkt
arkitektonisk	orkit3ktunisk
arkivere	orkiver3
arm	orm
arme	orme
arnt	ont
arr	or
arrangement	oroNS3moN
arrangere	oroNSer3
arrestere	or3ster3
arrogant	orugont
arte	ot3
artig	oti
artige	oti3
artigere	otir3
artigst	otikst
artigste	otikst3
artisjokk	otiSok
artistisk	otistisk
arve	orv3
arvelig	orv3li
arvelige	orv3li3
arveligere	orv3lir3
arveligst	orv3likst
arveligste	orv3likst3
asen	osn
asfaltere	osfolter3
asjett	oSEt
askebeger	osk3beg3r
asosial	osusiol
asparges	osporgEs
aspirere	ospirer3
aspirin	ospirin
assimilere	osimiler3
assistere	osister3
assosiere	osusier3
assurere	os3rer3
astma	osmo
astmatisk	osmotisk
astrologisk	ostrulogisk
astronomisk	ostrunumisk
at	ot
atal	otol
ateistisk	ot3istisk
atlantisk	otlontisk
atle	otl3
atletisk	otletisk
atrium	otri3m
atskillig	otSili
atskillige	otSili3
atskilligere	otSilir3
atskilligst	otSilikst
atskilligste	otSilikst3
atskilt	odSilt
atten	ot3n
attest	otEst
attestere	ot3ster3
attraktiv	otroktiv
attrå	otro
audiovisuell	E3diuvis3El
august	E3g3st
australsk	E3strolsk
autentisk	E3tEntisk
automatisk	E3tumotisk
automatisk dør	E3tumotiskder
autorisere	E3turiser3
autoritær	E3turitEr
av	ov
av og til	ovotil
avansere	ovoNser3
avbestille	ovbEstil3
avbilde	ovbild3
avblåse	ovblos3
avbryte	ovbrit3
avdekke	ovdEk3
avduke	ovd3k3
avdød	ovded
avertere	ovEter3
avfall	ovfol
avføring	ovferiN
avgang	ovgoN
avgifter	ovyift3r
avgjøre	ovyer3
avgjørelse	ovyer3ls3
avgjørende	ovyer3n3
avgrense	ovgrEns3
avhengig	ovhENi
avhengige	ovhENi3
avhengigere	ovhENir3
