llaqtam	Laqtam
Uma	uma
llaqtanqa	Laqtanqa
nisqaqa	nisqaqa
de	de
icha	iCa
kay	kay
distritu	distritu
huk	huk
runakunam	runakunam
San	san
sutiyuq	sutiyuq
kawsachkanku	kawsaCkanku
Yachay	yaCay
watapi	watapi
kastilla	kastiLa
wan	wan
llaqtapiqa	Laqtapiqa
rimanku	rimanku
runaqa	runaqa
qhichwa	qhiCwa
mana	mana
astawan	astawan
Kay	kay
lliwmanta	Liwmanta
kan	kan
mama	mama
llaqtapi	Laqtapi
kitilli	kitiLi
suyu	suyu
simikunatam	simikunatam
aswan	aswan
karqan	karqan
pruwinsya	pruwinsya
Alma	alma
runa	runa
aymara	aymara
kantun	kantun
llaqta	Laqta
chunka	Cunka
munisipyupiqa	munisipyupiqa
paqarisqa	paqarisqa
ñiqin	5iqin
Sunturnin	sunturnin
del	del
runakuna	runakuna
chay	Cay
Chay	Cay
Huk	huk
mater	mater
chaymanta	Caymanta
kaq	kaq
nisqa	nisqa
iskay	iskay
kachkan	kaCkan
munisipyu	munisipyu
llaqtayuq	Laqtayuq
La	la
ima	ima
Suntur	suntur
Lima	lima
la	la
Santa	santa
simipi	simipi
pacha	paCa
Hatun	hatun
yachay	yaCay
pulitiku	pulitiku
hina	hina
kitillipi	kitiLipi
allin	aLin
Churinkuna	Curinkuna
hatun	hatun
pruwinsyapiqa	pruwinsyapiqa
chanta	Canta
José	hose
kiti	kiti
manam	manam
mayu	mayu
Mama	mama
achka	aCka
Nacional	natsional
kanku	kanku
ancha	anCa
Universidad	universidad
aswanta	aswanta
Colegio	tsolegio
El	el
y	ya
simi	simi
Perú	peru
kimsa	kimsa
llaqtaqa	Laqtaqa
wata	wata
Kamasqa	kamasqa
of	of
Editorial	editorial
kawsanku	kawsanku
qucha	quCa
warmiqa	warmiqa
raymi	raymi
wasi	wasi
Huwan	huwan
kaqmanta	kaqmanta
Juan	huan
Yachaywasi	yaCaywasi
wañusqa	wa5usqa
qarqan	qarqan
nispa	nispa
unquy	unquy
warmi	warmi
Iskay	iskay
tiyachkan	tiyaCkan
killa	kiLa
uma	uma
ñawpa	5awpa
kaqpi	kaqpi
kaqwan	kaqwan
simitam	simitam
tiyanku	tiyanku
tukuy	tukuy
wakin	wakin
Piruw	piruw
Chunka	Cunka
Kastilla	kastiLa
tawa	tawa
watamanta	watamanta
María	maria
utaq	utaq
Mana	mana
hunuchá	hunuCa
ichaqa	iCaqa
llaqtap	Laqtap
Antonio	antonio
Pedro	pedro
Qhichwa	qhiCwa
sinchi	sinCi
tiyan	tiyan
riqsisqa	riqsisqa
ayllu	ayLu
suntur	suntur
Qhapaq	qhapaq
rimaqninmi	rimaqninmi
Kunan	kunan
Paykunaqa	paykunaqa
kantunmi	kantunmi
risirwa	risirwa
ñawpaq	5awpaq
en	en
pisi	pisi
waraniyi	waraniyi
