we	be
bilen	bilen
Türkmenistanyň	terkmEne88onuN
boýunça	boyunCo
üçin	eCen
hem	hem
bu	bu
döwlet	dEblEt
Bu	bu
bolan	bolon
tarapyndan	toropunnon
milli	milli
halkara	xolqoro
uly	ulu
bolup	bolup
bolsa	bol8o
bir	bir
amala	omolo
täze	tE8e
Döwlet	dEblEt
ýokary	yoqoru
ýerine	yerine
öz	E8
onuň	onuN
barada	borodo
Prezidentimiz	pre8identimi8
türkmen	terkmEn
şu	Su
ýurdumyzyň	yurdumu8uN
degişli	deXiSli
Gurbanguly	gurbonXulu
ýaly	yolu
şeýle	Seyle
beýleki	beyleki
üpjün	epjen
ähli	Ehli
ýylyň	yuluN
iş	iS
şol	Sol
daşary	doSoru
sport	8port
etmek	etmek
hormatly	xormotlu
laýyklykda	loyuqluqdo
Şu	Su
olaryň	oloruN
öňünde	ENennE
boldy	bollu
möhüm	mEhem
ýerde	yerde
Baştutanymyz	boStutonumu8
kabul	qobul
edýär	edyEr
alnyp	olnup
Hormatly	xormotlu
berdi	berdi
göz	gE8
Şeýle	Seyle
Milli	milli
dürli	derle
esasy	e8o8u
Berdimuhamedow	berdimuxomedob
durýar	duryor
aýratyn	oyrotun
Liderimiz	liderimi8
hakynda	xoqunno
häzirki	hE8irki
iň	iN
babatda	bobotdo
diýip	diyip
iki	iki
alyp	olup
hukuk	xuquq
dowam	dobom
bar	bor
durmuşa	durmuSo
çenli	Cenli
işler	iSler
taýdan	toydon
gün	gen
dünýä	denyE
ol	ol
işleri	iSleri
edýän	edyEn
belledi	belledi
Türkmenistan	terkmEne88on
çäklerinde	CEklerinne
hökmünde	hEkmennE
netijeli	netijeli
köp	kEp
baradaky	borodoqu
ýyl	yul
habar	xobor
ýylda	yullo
arasynda	oro8unno
edilen	edilen
etdi	etdi
her	her
bellenilen	bellenilen
berilýär	berilyEr
almak	olmoq
eýe	eye
Ministrler	mini88rler
diňe	diNe
geçirilen	geCirilen
ykdysady	uqdu8odu
Türkmen	terkmEn
edilýär	edilyEr
Soňra	8oNro
özara	E8oro
dowamynda	dobomunno
geçirmek	geCirmek
bilner	bilner
madda	moddo
Şunuň	SunuN
işleriň	iSleriN
sanda	8onno
durmuş	durmuS
hasabat	xo8obot
zerur	8erur
ýurdumyzda	yurdumu88o
Aziýa	o8iyo
iri	iri
ýol	yol
wagtda	boXtdo
giň	giN
biri	biri
özi	E8e
Ol	ol
Şol	Sol
ilkinji	ilkinji
birnäçe	birnECe
biziň	bi8iN
baglylykda	boXluluqdo
umumy	umumu
Prezidenti	pre8identi
aşyrylýar	oSurulyor
Türkmenistanda	terkmEne88onno
ajaýyp	ojoyup
geçirilýän	geCirilyEn
arkaly	orqolu
örän	ErEn
ösüş	E8eS
aýtdy	oytdu
geçirildi	geCirilli
esasynda	e8o8unno
soň	8oN
hojalyk	xojoluq
yzygiderli	u8ugiderli
doly	dolu
başga	boSXo
ulag	uloX
berýär	beryEr
okuw	oqub
Häzirki	hE8irki
Eger	eXer
gatnaşyklary	gotnoSuqloru
etmäge	etmEge
Merkezi	merke8i
işi	iSi
çykyş	CuquS
ýardam	yordom
barşynda	borSunno
hakyndaky	xoqundoqu
oba	obo
edip	edip
salgyt	8olXut
tertipde	tertipde
medeni	medeni
mümkinçilik	memkenCelik
gezek	ge8ek
gümrük	gemrek
ýaşaýyş	yoSoyuS
müň	meN
döwürde	dEberdE
mundan	munnon
ýurt	yurt
ösdürmek	E88ermEk
birinji	birinji
mynasyp	muno8up
onda	onno
Kabinetiniň	qobinetiniN
bermek	bermek
edaralarynyň	edorolorunuN
ýurduň	yurduN
kazyýet	qo8uyet
Berdimuhamedowyň	berdimuxomedobuN
Halkara	xolqoro
hyzmatdaşlyk	xu8motdoSluq
Olar	olor
olar	olor
Aşgabat	oSXobot
atly	otlu
edildi	edilli
berildi	berilli
geçirilýär	geCirilyEr
üstünlikli	e88enlekle
Munuň	munuN
oňa	oNo
gelýän	gelyEn
Onuň	onuN
laýyk	loyuq
zähmet	8Ehmet
üns	en8
taýýarlyk	toyyorluq
Olaryň	oloruN
hereket	hereket
hukugy	xuquXu
tutulan	tutulon
Täze	tE8e
bilim	bilim
hyzmatdaşlygy	xu8motdoSluXu
suw	8ub
aýdyň	oyduN
maksady	moq8odu
barylýan	borulyon
gaýtadan	goytodon
geçen	geCen
dünýäniň	denyEniN
howa	xobo
diýlip	diylip
beýan	beyon
has	xo8
ýörite	yEretE
welaýatynyň	beloyotunuN
bolar	bolor
göterim	gEtErem
işjeň	iSSeN
ylmy	ulmu
bolmadyk	bolmoduq
netijesinde	netije8inne
derejede	derejede
däl	dEl
ony	onu
talap	tolop
görkezilen	gErkE8elEn
döwründe	dEbrennE
döwrebap	dEbrEbop
netijeleri	netijeleri
biler	biler
serişdeleriniň	8eriSdeleriniN
Respublikasynyň	re8publiko8unuN
ýüze	ye8E
işini	iSini
pul	pul
ugrunda	uXrunno
sany	8onu
ikinji	ikinji
ygtyýarly	uXtuyorlu
ýola	yolo
anyk	onuq
gol	gol
çäreler	CEreler
taryhy	toruxu
tertibi	tertibi
işiniň	iSiniN
baglanyşykly	boXlonuSuqlu
degişlidir	deXiSlidir
gaz	go8
ýüz	ye8
berlen	berlen
toparynyň	toporunuN
hasaba	xo8obo
topary	toporu
gözegçilik	gE8EXCelek
senagat	8enoXot
ykrar	uqror
döwletimiziň	dEblEteme8iN
wekilleri	bekilleri
işe	iSe
kanunçylygynda	qonunCuluXunno
Ýurdumyzyň	yurdumu8uN
syýahatçylyk	8uyoxoCCuluq
ulgamynda	ulXomunno
meseleleri	me8eleleri
adam	odom
nygtady	nuXtodu
Aşgabatda	oSXobotdo
zaman	8omon
ägirt	EXirt
bilelikde	bilelikde
döredijilik	dErEdejilik
Daşary	doSoru
goraýyş	goroyuS
hyzmat	xu8mot
çäreleri	CEreleri
baş	boS
bellige	belliXe
kanunçylygyna	qonunCuluXuno
özüniň	E8eneN
aýynda	oyunno
edara	edoro
üç	eC
geçiriljek	geCiriljek
maýa	moyo
orunbasary	orunmo8oru
şertleri	Sertleri
edaralary	edoroloru
Baştutanymyzyň	boStutonumu8uN
hyzmatdaşlygyň	xu8motdoSluXuN
alyş	oluS
ulgamynyň	ulXomunuN
Biziň	bi8iN
arasyndaky	oro8undoqu
diýen	diyen
mynasybetli	muno8ubetli
möçberi	mECbEre
Prezidentiniň	pre8identiniN
berk	berk
baýramçylyk	boyromCuluq
görnüşleri	gErneSlEre
saglygy	8oXluXu
gelip	gelip
barýan	boryon
görnüşi	gErneSe
ýaş	yoS
çagalar	CoXolor
hatarynda	xotorunno
dynç	dunC
olary	oloru
gurluşyk	gurluSuq
ikitaraplaýyn	ikitoroployun
toplumynyň	toplumunuN
bolşy	bolSu
ýagdaýy	yoXdoyu
bardyr	bordur
halkymyzyň	xolqumu8uN
resmi	re8mi
harby	xorbu
edarasy	edoro8u
görä	gErE
tebigy	tebiXu
goramak	goromoq
söwda	8Ebdo
ulgamy	ulXomu
alnan	olnon
belent	belent
bolýar	bolyor
giňden	giNNen
şäherinde	SEherinne
gatnaşyklaryň	gotnoSuqloruN
şäheriniň	SEheriniN
ulanmaga	ulonmoXo
demir	demir
köpçülikleýin	kEpCeleklEyin
nobatdaky	nobotdoqu
ýerli	yerli
mahalynda	moxolunno
oňyn	oNun
ösdürmegiň	E88ermEXeN
deň	deN
şahsy	Sox8u
hünär	henEr
döretmek	dErEtmEk
ösdürmäge	E88ermEge
baha	boxo
Başlygynyň	boSluXunuN
Baş	boS
tutulýan	tutulyon
etmegiň	etmeXiN
göterime	gEtEreme
halatynda	xolotunno
gyzyklanma	gu8uqlonmo
Şunda	Sunno
gadymy	godumu
serişdeleri	8eriSdeleri
öwrüldi	Ebrelle
üçünji	eCenje
däldir	dEllir
desgalaryň	de8XoloruN
gowrak	gobroq
ileri	ileri
önümleri	EnemlEre
öň	EN
ara	oro
halkynyň	xolqunuN
gurluşygy	gurluSuXu
depgini	depXini
saklamak	8oqlomoq
ugurda	uXurdo
syýasatynyň	8uyo8otunuN
işleriniň	iSleriniN
soňky	8oNqu
eder	eder
edilmegi	edilmeXi
hususy	xu8u8u
önümçilik	EnemCelek
Olimpiýa	olimpiyo
maliýe	moliye
berjaý	berjoy
medeniýet	medeniyet
yglan	uXlon
kesgitlenilýär	ke8XitlenilyEr
bank	bonk
derejesinde	dereje8inne
adamlar	odomlor
işläp	iSlEp
ýere	yere
Mundan	munnon
elektrik	elektrik
gatnaşyklarynyň	gotnoSuqlorunuN
jemgyýetçilik	jemXuyeCCilik
özboluşly	E8boluSlu
tutuş	tutuS
halk	xolk
munuň	munuN
bellenen	bellenen
edilýän	edilyEn
taýýarlamak	toyyorlomoq
merkezi	merke8i
söweş	8EbES
bellenildi	bellenilli
edarasynyň	edoro8unuN
Liderimiziň	liderimi8iN
Prezidentimiziň	pre8identimi8iN
barylýar	borulyor
eden	eden
altyn	oltun
hasabyna	xo8obuno
million	million
derejesini	dereje8ini
ýyllarda	yullordo
deňiz	deNi8
tarap	torop
goýmak	goymoq
döwletiň	dEblEteN
gönükdirilen	gEnekderelen
gelen	gelen
güni	gene
aragatnaşyk	oroXotnoSuq
ýetirilen	yetirilen
adamlaryň	odomloruN
gowy	gobu
toparlarynyň	toporlorunuN
bellenilýär	bellenilyEr
jemi	jemi
işine	iSine
sungaty	8unXotu
Watanymyzyň	botonumu8uN
dolandyryş	dolonnuruS
bölegi	bElEXe
ulgamyny	ulXomunu
durýan	duryon
sportuň	8portuN
ugur	uXur
belli	belli
bagtyýarlyk	boXtuyorluq
emele	emele
olara	oloro
ugurlary	uXurloru
öňe	ENE
ýürekden	yerEkdEn
orun	orun
berýän	beryEn
ministrligi	mini88rliXi
önümleriniň	EnemlEreneN
hakyky	xoququ
ähmiýetli	Ehmiyetli
niýetlenen	niyetlenen
gatnaşyjylar	gotnoSujulor
çäreleriň	CEreleriN
hasap	xo8op
serişdelerini	8eriSdelerini
syýasy	8uyo8u
özünde	E8ennE
ak	oq
amatly	omotlu
goşmaça	goSmoCo
özüne	E8enE
bilelikdäki	bilelikdEki
gullugynyň	gulluXunuN
peýdalanmak	peydolonmoq
belläp	bellEp
ýurtlaryň	yurtloruN
bagly	boXlu
geçiriler	geCiriler
durnukly	durnuqlu
orny	ornu
işgärleri	iSXErleri
başlap	boSlop
bermäge	bermEXe
möçberli	mECbErle
ýagdaýda	yoXdoydo
düýpli	deypli
maddanyň	moddonuN
eýsem	ey8em
gazanan	go8onon
işleýän	iSleyEn
toplumy	toplumu
orta	orto
ugry	uXru
ýerleşýän	yerleSyEn
şertler	Sertler
Berkarar	berqoror
satyn	8otun
arzuw	or8ub
böleginde	bElEXenne
ýer	yer
kömek	kEmek
ýetirmek	yetirmek
öňdebaryjy	ENNEboruju
tüýs	tey8
üsti	e88e
Iş	iS
Garaşsyz	goroS8u8
mümkinçilikleri	memkenCelikleri
çekdi	Cekdi
derejeli	derejeli
oňat	oNot
gatnaşmagynda	gotnoSmoXunno
etdiler	etdiler
çäginde	CEXinne
energetika	enerXetiko
lukmançylyk	luqmonCuluq
ugurlarynyň	uXurlorunuN
ünsi	en8e
baý	boy
islendik	i8lennik
Mary	moru
ulanylýar	ulonulyor
tehniki	tehniki
beriş	beriS
ekologiýa	ekologiyo
ruhy	ruxu
dabaraly	doborolu
garşy	gorSu
saýlaw	8oylob
wagtynda	boXtunno
borçludyr	borCludur
geljegi	geljeXi
şanly	Sonlu
agzalary	oX8oloru
paýtagtymyzyň	poytoXtumu8uN
wezipeleri	be8ipeleri
Medeniýet	medeniyet
ýurdumyz	yurdumu8
Mälim	mElim
tabşyrdy	tobSurdu
Birleşen	birleSen
ýük	yek
Kodeksiň	qodek8iN
Lebap	lebop
alan	olon
hilli	hilli
maglumatlar	moXlumotlor
bellemek	bellemek
ýuridik	yuridik
geçirilmegi	geCirilmeXi
Bitaraplyk	bitoropluq
Kanunyň	qonunuN
hasabaty	xo8obotu
kadalaşdyryjy	qodoloSduruju
döredilen	dErEdelen
görnüşde	gErneSdE
ýolbaşçylary	yolboSSuloru
edilip	edilip
sungat	8unXot
Ahal	oxol
almaga	olmoXo
bähbitli	bEhbitli
goýlan	goylon
gürrüň	gerreN
ýurtly	yurtlu
belleýşi	belleySi
döwrüň	dEbreN
gatnaşyklaryny	gotnoSuqlorunu
geldi	gelli
geçirmäge	geCirmEge
guramalarynyň	guromolorunuN
maglumatlary	moXlumotloru
sazlaşykly	8o8loSuqlu
toplumlaýyn	toplumloyun
ýeri	yeri
işlerini	iSlerini
işgärleriniň	iSXErleriniN
ministrliginiň	mini88rliXiniN
Aziýanyň	o8iyonuN
Biz	bi8
hemişelik	hemiSelik
meşhur	meSxur
adamyň	odomuN
hak	xoq
maksatly	moq8otlu
dünýäde	denyEde
eýedir	eyedir
mähirli	mEhirli
ählumumy	Ehlumumu
sebit	8ebit
şaýatlyk	Soyotluq
Bitarap	bitorop
gelýär	gelyEr
toplumynda	toplumunno
Onda	onno
harytlaryň	xorutloruN
haky	xoqu
möhleti	mEhlEte
barabar	borobor
beýik	beyik
bürünç	berenC
dostlukly	do88luqlu
hemmetaraplaýyn	hemmetoroployun
Ýokary	yoqoru
boldular	bollulor
görnüşli	gErneSle
merkeziniň	merke8iniN
diňläp	diNlEp
fiziki	fi8iki
ähmiýet	Ehmiyet
ýagdaýynda	yoXdoyunno
şäher	SEher
gatnaşyjylaryň	gotnoSujuloruN
soňra	8oNro
beren	beren
karz	qor8
on	on
açyk	oCuq
taraplaryň	toroploruN
Mejlisiň	mejli8iN
Milletler	milletler
birlikde	birlikde
etmegi	etmeXi
kämilleşdirmek	kEmilleSdirmek
merkezinde	merke8inne
ösüşiň	E8eSeN
bäş	bES
berilýän	berilyEn
ozal	o8ol
pikir	pikir
gününden	genennEn
içinde	iCinne
kümüş	kemeS
ýoly	yolu
toparlary	toporloru
Türkmenistana	terkmEne88ono
guramaçylyk	guromoCuluq
hormat	xormot
täsir	tE8ir
wezipeli	be8ipeli
ähmiýeti	Ehmiyeti
hünärmenleri	henErmEnleri
tutulýar	tutulyor
çykýan	Cuqyon
berer	berer
işiň	iSiN
şahs	Sox8
görnüşinde	gErneSennE
biz	bi8
jogapkärçilik	joXopkErCilik
Daşoguz	doSobu8
dabarasy	doboro8u
goýum	goyum
gatnaşdylar	gotnoSdulor
parahatçylyk	poroxoCCuluq
ösüşi	E8eSe
bankynyň	bonqunuN
gerek	gerek
gurmak	gurmoq
haklydyr	xoqludur
saglyk	8oXluq
halatlarda	xolotlordo
bina	bino
içerki	iCerki
berilmegi	berilmeXi
nazara	no8oro
welaýatyň	beloyotuN
metr	metr
derejesi	dereje8i
gönükdirilendir	gEnekderelennir
hemişe	hemiSe
aşyrylýan	oSurulyon
geçirmegiň	geCirmeXiN
tabşyryklary	tobSuruqloru
hukuklary	xuquqloru
döredildi	dErEdelli
uzak	u8oq
bes	be8
telekeçiler	telekeCiler
ählisi	Ehli8i
ýeňiş	yeNiS
aşyrmak	oSurmoq
kazyýetiň	qo8uyetiN
bagyşlanan	boXuSlonon
