ve	vE
bir	bir
olarak	olarak
ile	ilE
için	iCin
da	da
bu	bu
Bu	bu
de	dE
olan	olan
sonra	sonra
daha	daha
tarafından	tarafundan
en	En
ilk	ilk
çok	Cok
ise	ise
iki	iki
gibi	Tibi
büyük	biyek
kadar	kadar
yılında	yulunda
yer	yEr
oldu	oldu
olduğu	oldu
veya	veya
göre	TErE
arasında	arasunda
km	kEmE
her	hEr
ya	ya
diğer	diyEr
birlikte	birliktE
aynı	aynu
etti	eti
vardır	vardur
yeni	yeni
karşı	karSu
önemli	EnEmli
ancak	anjak
yıl	yul
olduğunu	oldunu
şekilde	SekildE
aldı	aldu
içinde	iCindE
bulunan	bulunan
önce	EnjE
birçok	birCok
adı	adu
başladı	baSladu
son	son
adlı	adlu
Ancak	anjak
üzerine	izerinE
devam	devam
Bir	bir
Ayrıca	ayruja
kabul	kabul
olmuştur	olmuStur
zaman	zaman
kendi	kEndi
fazla	fazla
farklı	farklu
tüm	tem
tarihinde	tarihindE
üç	eC
in	in
iyi	iyi
sahip	sahip
alan	alan
üzere	izerE
yüksek	yeksEk
eski	Eski
tek	tEk
nüfusu	nifusu
nin	nin
geri	Teri
bazı	bazu
gelen	TelEn
üzerinde	izerindE
ikinci	ikinji
hem	hEm
bulunmaktadır	bulunmaktadur
yaptı	yaptu
sadece	sadejE
ortaya	ortaya
o	o
küçük	kiCek
kez	kEz
biri	biri
yapılan	yapulan
Daha	daha
çeşitli	CeSitli
nın	nun
zamanda	zamanda
boyunca	boyunja
eden	Eden
olup	olup
uzaklıktadır	uzakluktadur
olmak	olmak
ın	un
eder	edEr
ne	nE
Türk	terk
süre	sirE
İlk	ilk
rağmen	ramEn
yeniden	yenidEn
ardından	ardundan
yaklaşık	yaklaSuk
nedeniyle	nedeniylE
uzun	uzun
bağlı	balu
sırasında	surasunda
onu	onu
doğru	doru
yerine	yerinE
az	az
gün	Ten
başka	baSka
kişi	kiSi
edildi	edildi
kısa	kusa
onun	onun
özel	EzEl
ilgili	ilTili
genellikle	TenElliklE
yılı	yulu
elde	EldE
ama	ama
olması	olmasu
olur	olur
görev	TErEv
ilçesine	ilCesinE
altında	altunda
yaptığı	yaptuuu
tarihi	tarihi
sahiptir	sahiptir
merkezine	mErkezinE
almıştır	almuStur
birkaç	birkaC
tekrar	tEkrar
a	a
The	thE
dört	dErt
En	En
ana	ana
edilen	edilEn
hakkında	hakunda
Kasım	kasum
Aynı	aynu
verdi	vErdi
ayrıca	ayruja
sonunda	sonunda
Bunun	bunun
genel	TenEl
nde	ndE
dolayı	dolayu
sırada	surada
Osmanlı	osmanlu
gelir	Telir
Fakat	fakat
Her	hEr
arasındaki	arasundaki
neden	nedEn
ait	ait
Aralık	araluk
Ocak	ojak
ele	Ele
tam	tam
su	su
bulunur	bulunur
yakın	yakun
edilmiştir	edilmiStir
yol	yol
alır	alur
etmiştir	EtmiStir
dahil	dahil
müzik	mizik
Mayıs	mayus
özellikle	EzElliklE
oluşan	oluSan
ona	ona
un	un
savaş	savaS
kullanılan	kullanulan
kazandı	kazandu
karar	karar
fakat	fakat
nda	nda
hemen	hemEn
film	film
dışında	duSunda
etmek	EtmEk
toplam	toplam
itibarıyla	itibaruyla
Dünya	denya
edilir	edilir
çıkan	Cukan
almaktadır	almaktadur
grup	grup
sıra	sura
Alman	alman
Eylül	Eylel
geldi	TEldi
Ekim	ekim
sonucu	sonuju
çıktı	Cuktu
milyon	milyon
olmayan	olmayan
devlet	dEvlEt
pek	pEk
inşa	inSa
Haziran	haziran
adını	adunu
Avrupa	avrupa
Nisan	nisan
bilinen	bilinEn
kaldı	kaldu
on	on
