va	vE
bilan	bilEn
ham	hEm
bir	bir
yoki	yoki
km	kaem
boʻlgan	bolgEn
esa	esE
boshqa	boSqE
suv	suv
bor	bor
boʻlib	bolib
Bu	bu
bu	bu
uning	uniN
deb	deb
tashkil	tESkil
mumkin	mumkin
ishlab	iSlEb
boʻladi	bolEdi
katta	kEttE
eng	eN
hosil	hosil
ega	egE
Shundan	SundEn
qiladi	qilEdi
olib	olib
oʻz	oz
quruqlik	quruqlik
u	u
hamda	hEmdE
sifatida	sifEtidE
maydonidir	mEydonidir
iborat	iborEt
asosiy	Esosiy
har	hEr
mavjud	mEvjud
tomonidan	tomonidEn
yil	yil
ming	miN
Oʻzbekiston	ozbekiston
turli	turli
edi	edi
shu	Su
asosan	EsosEn
ga	gE
kabi	kEbi
koʻp	kop
qilish	qiliS
dan	dEn
davlat	dEvlEt
qismi	qismi
joylashgan	joylESgEn
keng	keN
etilgan	etilgEn
qilgan	qilgEn
U	u
orqali	orqEli
shuningdek	SuniNdek
boshqalar	boSqElEr
kishi	kiSi
muhim	muhim
yirik	yirik
ikki	ikki
yangi	yENi
biri	biri
hisoblanadi	hisoblEnEdi
yuqori	yuqori
paydo	pEydo
xalq	XElq
ta	tE
etgan	etgEn
ilmiy	ilmiy
Toshkent	toSkent
yilda	yildE
ularning	ulErniN
qilib	qilib
xil	Xil
etadi	etEdi
ular	ulEr
olish	oliS
juda	judE
qilingan	qiliNEn
beradi	berEdi
da	dE
uni	uni
keyin	keyin
nomi	nomi
yaqin	yEqin
Uning	uniN
koʻra	korE
qarshi	qErSi
milliy	milliy
boʻlishi	boliSi
maxsus	mEXsus
umumiy	umumiy
davrida	dEvridE
olgan	olgEn
shahar	SEhEr
asosida	EsosidE
natijasida	nEtijEsidE
keladi	kelEdi
kelib	kelib
kelgan	kelgEn
bogʻliq	boXliq
ning	niN
xos	Xos
Shu	Su
xizmat	XizmEt
yildan	yildEn
turadi	turEdi
Oʻrta	ortE
oladi	olEdi
boʻldi	boldi
Respublikasi	respublikEsi
elektr	elektr
qishloq	qiSloq
yaxshi	yEXSi
bosh	boS
ni	ni
amalga	EmElgE
qabul	qEbul
qayta	qEytE
Oʻzbekistonda	ozbekistondE
haqida	hEqidE
kiradi	kirEdi
ayrim	Eyrim
emas	emEs
markazi	mErkEzi
birga	birgE
yana	yEnE
olingan	oliNEn
marta	mErtE
oʻzbek	ozbek
qilinadi	qilinEdi
faqat	fEqEt
holda	holdE
Ular	ulEr
ortiq	ortiq
yer	yer
unga	uNE
harbiy	hErbiy
soʻng	soN
orasida	orEsidE
xoʻjaligi	XojEligi
tashqari	tESqEri
Aholisi	Eholisi
tarqalgan	tErqElgEn
qarab	qErEb
tufayli	tufEyli
vujudga	vujudgE
sanoat	sEnoEt
nisbatan	nisbEtEn
Osiyo	osiyo
ishlari	iSlEri
sanoati	sEnoEti
davom	dEvom
oʻrta	ortE
rivojlangan	rivojlENEn
topgan	topgEn
m	em
qolgan	qolgEn
ish	iS
oid	oid
ijtimoiy	ijtimoiy
tabiiy	tEbiiy
davomida	dEvomidE
korxonalari	korXonElEri
musiqa	musiqE
jumladan	jumlEdEn
rus	rus
xalqaro	XElqEro
yillik	yillik
qildi	qildi
yordamida	yordEmidE
alohida	ElohidE
mashhur	mEShur
soni	soni
tili	tili
ishlatiladi	iSlEtilEdi
badiiy	bEdiiy
iqtisodiy	iqtisodiy
yoʻl	yol
toʻgʻri	toXri
jihatdan	jihEtdEn
Buxoro	buXoro
ayniqsa	EyniqsE
oʻzaro	ozEro
oʻziga	ozigE
Yer	yer
Ushbu	uSbu
tashqi	tESqi
gaz	gEz
hozirgi	hozirgi
asos	Esos
jahon	jEhon
mas	mEs
yerda	yerdE
faoliyat	fEoliyEt
olinadi	olinEdi
viloyati	viloyEti
turi	turi
muayyan	muEyyEn
nashr	nESr
Rossiya	rossiyE
shahri	SEhri
ilk	ilk
kam	kEm
dastlabki	dEstlEbki
etish	etiS
kerak	kerEk
vaqt	vEqt
berilgan	berilgEn
temir	temir
undan	undEn
Shuningdek	SuniNdek
qanday	qEndEy
turlari	turlEri
yillarda	yillErdE
boʻlsa	bolsE
etib	etib
tumani	tumEni
ularni	ulErni
mahalliy	mEhElliy
davrda	dEvrdE
yarim	yErim
fan	fEn
asarlari	EsErlEri
dengiz	deNiz
