p	1	1	1	1
ɸ	1	5	1	1
b	1	1	2	1
β	1	5	2	1
m	1	2	2	1
f	2	5	1	1
v	2	5	2	1
θ	3	5	1	1
ð	3	5	2	1
n̪	3	2	2	1
t	4	1	1	1
d	4	1	2	1
s	4	5	1	1
z	4	5	2	1
ts	4	3	1	1
dz	4	3	2	1
n	4	2	2	1
ʃ	5	5	1	1
ʒ	5	5	2	1
tʃ	5	3	1	1
dʒ	5	3	2	1
c	7	1	1	1
ɟ	7	1	2	1
ɲ	7	2	2	1
k	8	1	1	1
g	8	1	2	1
x	8	5	1	1
ɣ	8	5	2	1
ŋ	8	2	2	1
q	9	1	1	1
G	9	1	2	1
X	9	5	1	1
ʁ	9	5	2	1
ħ	10	5	1	1
ʕ	10	5	2	1
ʔ	11	1	1	1
h	11	5	1	1
ɦ	11	5	2	1
l	4	8	2	1
L	8	8	2	1
ɭ	6	8	2	1
ʎ	7	8	2	1
w	4.5	5	2	1
j	7	7	2	1
r	4	3	2	1
ʀ	9	3	2	1
ɾ	4	4	2	1
ɽ	5	4	2	1
ɺ	4	7	2	1
ɻ	6	7	2	1
ǀ	3	1	1	0
ǁ	4	1.5	1	0
ǃ	4	1	1	0
ǂ	6	1	1	0
